Source Name,Mention Count
allafrica.com,543
angop.ao,513
macauhub.com.mo,364
portalangop.co.ao,295
xinhuanet.com,239
jornaldeangola.sapo.ao,221
china.org.cn,196
innercitypress.com,163
reuters.com,142
chinadaily.com.cn,136
portugalglobal.pt,123
yahoo.com,122
ecns.cn,113
prensa-latina.cu,102
einnews.com,79
BBC Monitoring,66
sina.com,64
globaltimes.cn,56
angonoticias.com,56
portaldeangola.com,54
peopledaily.com.cn,49
hellenicshippingnews.com,46
fmprc.gov.cn,46
africajournalismtheworld.com,43
governo.gov.ao,42
abola.pt,41
macaudailytimes.com.mo,39
en.people.cn,37
plenglish.com,35
4-traders.com,33
en.ce.cn,33
coastweek.com,33
dw.com,33
jschina.com.cn,32
blogspot.com,31
dailymail.co.uk,30
shanghaidaily.com,30
bjreview.com,28
columbiamissourian.com,28
trust.org,27
bjreview.com.cn,27
chinamil.com.cn,26
brinkwire.com,26
en.gmw.cn,25
dn.pt,25
pulse.ng,24
observador.pt,24
womenofchina.cn,23
agenzianova.com,23
hojemacau.com.mo,23
people.com.cn,21
naija247news.com,21
arabic.news.cn,20
rtp.pt,20
africatime.com,19
afkinsider.com,19
espanol.cri.cn,19
msn.com,19
timesofearth.com,18
bdlive.co.za,18
bbc.com,18
bbc.co.uk,18
globalpost.com,18
angolabelazebelo.com,17
reliefweb.int,17
dinheirovivo.pt,17
noticiasaominuto.com,17
engineeringnews.co.za,16
standardmedia.co.ke,16
defence.pk,16
stratfor.com,15
archdaily.com,15
businessdayonline.com,15
portugaldigital.com.br,15
afropages.fr,14
focac.org,14
vestnikkavkaza.net,14
portuguese.cri.cn,14
enca.com,14
chinaplus.cri.cn,14
french.cri.cn,13
bloomberg.com,13
theafricareport.com,13
arabic.cri.cn,13
english.cntv.cn,13
jeuneafrique.com,13
devdiscourse.com,13
news24.com,12
business-standard.com,12
africacenter.org,12
vigworld.net,12
icilome.com,12
charter97.org,12
platts.com,12
kitco.com,12
marketwatch.com,11
iol.co.za,11
freemalaysiatoday.com,11
agenceafrique.com,11
ptjornal.com,11
swissinfo.ch,10
smh.com.au,10
brisbanetimes.com.au,10
canberratimes.com.au,10
watoday.com.au,10
theage.com.au,10
herald.co.zw,10
prensalatina.com.br,10
odt.co.nz,10
thestandard.com.hk,10
publico.pt,10
fin24.com,10
dailymailnews.com,10
undercurrentnews.com,10
globalconstructionreview.com,10
moderndiplomacy.eu,10
washingtonpost.com,9
businessinsider.com,9
skyscrapercity.com,9
medafricatimes.com,9
romandie.com,9
tjcnewspaper.com,9
fr.cntv.cn,9
newsghana.com.gh,9
wsws.org,9
channelnewsasia.com,9
presstelegraph.com,9
ktbb.com,8
wlec.com,8
wohfradio.com,8
sott.net,8
geographical.co.uk,8
humanitariannews.org,8
thestar.com.my,8
foxnews.com,8
