Source Name,Mention Count
china.org.cn,74
xinhuanet.com,67
acotonou.com,46
thisdaylive.com,29
ecns.cn,21
allafrica.com,21
omojuwa.com,21
sina.com,19
chinadaily.com.cn,17
thenationonlineng.net,17
nigerianobservernews.com,17
shanghaidaily.com,16
en.ce.cn,14
leadership.ng,14
jamaicaobserver.com,14
today.ng,13
msn.com,13
singaporestar.com,12
nigeriasun.com,12
newsghana.com.gh,11
vanguardngr.com,10
einnews.com,9
onlinenigeria.com,8
punchng.com,8
sunnewsonline.com,8
lanouvelletribune.info,8
guardian.ng,8
menafn.com,8
yahoo.com,8
alome.com,7
thepeninsulaqatar.com,6
modernghana.com,6
cnbcafrica.com,6
africa-newsroom.com,6
nigeriatoday.ng,6
naij.com,5
coastweek.com,5
pulse.ng,5
globalpost.com,5
en.people.cn,5
dailytrust.com.ng,5
actuniger.com,5
africajournalismtheworld.com,5
news24.com,5
herald.co.zw,4
globaltimes.cn,4
icilome.com,4
benininfo.com,4
eastday.com,4
peoplesdailyng.com,4
africabusinesscommunities.com,4
hljtv.com,4
ladepeche.fr,4
apanews.net,4
nigerianmuse.com,4
pulse.com.gh,4
citizen.co.za,4
malaymail.com,4
qatar-tribune.com,4
khaleejtimes.com,4
daijiworld.com,4
telegramme228.com,3
peopledaily.com.cn,3
ortb.info,3
spyghana.com,3
blogspot.com,3
blueprint.ng,3
camer.be,3
chronicle.co.zw,3
lapressedujour.net,3
womenofchina.cn,3
beijingbulletin.com,3
chinanationalnews.com,3
dispatchtimes.com,3
hindustantimes.com,3
thenewsguru.com,3
myjoyonline.com,3
africabusiness.com,3
tribune.net.ph,3
sacbee.com,3
24haubenin.info,3
sundiatapost.com,3
mgafrica.com,2
koaci.com,2
almustaqbal.com,2
telecompaper.com,2
bittenus.com,2
republicoftogo.com,2
abidjan.net,2
aouaga.com,2
levenementprecis.com,2
nairaland.com,2
dailynews.co.tz,2
in2eastafrica.net,2
china-africa-reporting.co.za,2
cantondailyledger.com,2
nigerianpilot.com,2
nigerianeye.com,2
4-traders.com,2
financialafrik.com,2
businessdayonline.com,2
marketwatch.com,2
advancedbiofuelsusa.info,2
newtelegraphonline.com,2
thehindu.com,2
ghanaweb.com,2
ghanavisions.com,2
nytimes.com,2
elpais.com,2
dw.com,2
lejdc.fr,2
ifaw.org,2
