Source Name,Mention Count
innercitypress.com,57
allafrica.com,43
xinhuanet.com,43
yahoo.com,33
mediacongo.net,32
radiookapi.net,29
lephareonline.net,22
chinanationalnews.com,21
dawn.com,21
africajournalismtheworld.com,20
msn.com,20
miningweekly.com,18
beijingbulletin.com,17
bloomberg.com,15
china.org.cn,15
digitalcongo.net,12
sina.com,12
kongotimes.info,12
timesofearth.com,12
laprosperiteonline.net,11
iol.co.za,10
bjreview.com,10
juniorminingnetwork.com,10
africatime.com,10
outlookindia.com,10
kxly.com,10
cnn.com,10
yaktrinews.com,10
wfmz.com,10
news8000.com,10
localnews8.com,10
wfnc640am.com,10
afriqueredaction.com,9
thejakartapost.com,9
finanznachrichten.de,9
news24.com,9
lecongolais.cd,9
keyt.com,9
presstv.com,8
india.com,8
reliefweb.int,7
adiac-congo.com,7
la-croix.com,7
bdlive.co.za,6
bjreview.com.cn,6
reuters.com,6
theafricareport.com,6
timeslive.co.za,6
railwaygazette.com,6
chinadaily.com.cn,6
lemonde.fr,6
uniindia.com,6
smenet.org,6
punchng.com,6
sharenet.co.za,5
channelafrica.co.za,5
groupelavenir.org,5
globalconstructionreview.com,5
mining.com,5
dailymail.co.uk,5
people.com.cn,5
metal.com,5
business-standard.com,5
globaltimes.cn,5
tanzaniatoday.co.tz,5
tolerance.ca,5
izf.net,5
mintpressnews.com,5
strategic-culture.org,5
lewrockwell.com,5
greanvillepost.com,5
angop.ao,5
ecns.cn,4
trust.org,4
swissinfo.ch,4
thedailyherald.sx,4
sfgate.com,4
matadornetwork.com,4
newvision.co.ug,4
spyghana.com,4
lemagazinedumanager.com,4
agpgabon.ga,4
direct.cd,4
jeuneafrique.com,4
africa-confidential.com,4
presstv.ir,4
ajot.com,4
indiatimes.com,4
phys.org,4
telegraph.co.uk,4
marketwatch.com,4
BBC Monitoring,4
investorintel.com,4
arabnews.com,4
dostor.org,4
4-traders.com,3
ewn.co.za,3
abruzzo.tv,3
umn.edu,3
peopledaily.com.cn,3
wsj.com,3
modernghana.com,3
hongkongherald.com,3
brazilsun.com,3
africaleader.com,3
cameroon-tribune.cm,3
lalibre.be,3
inquirer.net,3
baystreet.ca,3
qz.com,3
sputniknews.com,3
newsoninvest.com,2
lucenainformacion.com,2
alwihdainfo.com,2
romandie.com,2
newzealandstar.com,2
terradaily.com,2
thestar.com.my,2
kdal610.com,2
kfgo.com,2
whtc.com,2
foxnews.com,2
wgmd.com,2
whbl.com,2
businessinsider.com,2
cbc.ca,2
huffingtonpost.com,2
deccanchronicle.com,2
citizentv.co.ke,2
in2eastafrica.net,2
venturesafrica.com,2
medias24.com,2
oeildafrique.com,2
sott.net,2
mgafrica.com,2
mic.com,2
afkinsider.com,2
lobservateur.cd,2
afropages.fr,2
lesoftonline.net,2
tfd.com,2
goldseiten.de,2
