Source Name,Mention Count
gov.na,980
allafrica.com,735
xinhuanet.com,567
namibian.com.na,463
newera.com.na,377
namibiansun.com,342
china.org.cn,290
ecns.cn,143
sina.com,133
chinadaily.com.cn,121
neweralive.na,107
observer.com.na,87
informante.web.na,78
en.ce.cn,75
globaltimes.cn,71
coastweek.com,63
thevillager.com.na,63
southernafrican.news,61
republikein.com.na,56
shanghaidaily.com,56
reuters.com,49
newsghana.com.gh,46
peopledaily.com.cn,46
BBC Monitoring,43
fmprc.gov.cn,42
chinamil.com.cn,40
china.com,40
beijingreview.com.cn,35
wantchinatimes.com,34
4-traders.com,33
msn.com,33
prensa-latina.cu,32
globalpost.com,31
people.com.cn,30
bernama.com.my,28
az.com.na,27
forimmediaterelease.net,26
en.gmw.cn,26
africajournalismtheworld.com,22
en.people.cn,21
starafrica.com,19
nbc.na,19
french.cri.cn,19
insight.com.na,18
turkishweekly.net,18
spyghana.com,18
arabic.news.cn,17
nampa.org,17
namibtimes.net,17
eurasiareview.com,16
pambazuka.net,16
economist.com.na,16
iol.co.za,16
observer24.com.na,15
devdiscourse.com,15
sanews.gov.za,14
ww4report.com,14
blogspot.com,14
jschina.com.cn,14
the-star.co.ke,13
brudirect.com,13
miningweekly.com,13
borneobulletin.com.bn,13
bjreview.com,13
focac.org,12
news24.com,12
afkinsider.com,12
occrp.org,12
hitradio.com.na,11
yahoo.com,11
juniorminingnetwork.com,11
skyscrapercity.com,10
africabusiness.com,10
espanol.cri.cn,9
apanews.net,9
customstoday.com.pk,9
english.cri.cn,9
brinkwire.com,9
poandpo.com,9
thezimbabwemail.com,9
angop.ao,9
iwf.org,9
proactiveinvestors.co.uk,8
polity.org.za,8
thecattlesite.com,8
bjreview.com.cn,8
cctv.com,8
channelnewsasia.com,8
bernama.com,7
cgtn.com,7
afropages.fr,7
businessinsider.com,7
chinaplus.cri.cn,7
womenofchina.cn,7
asiabulletin.com,6
mgafrica.com,6
theepochtimes.com,6
howcanigeteasymoney.com,6
brics-info.org,6
ibtimes.com,6
nationalgeographic.com,6
wildlifedirect.org,6
southerntimesafrica.com,6
thenewslib.com,6
weeklytimesnow.com.au,6
whtc.com,6
kfgo.com,6
kdal610.com,6
whbl.com,6
nasdaq.com,6
irishsun.com,6
africageographic.com,6
theecologist.org,6
observer.ug,6
bankingtech.com,6
africacenter.org,6
afronline.org,5
eastday.com,5
espanol.cntv.cn,5
dailymail.co.uk,5
france24.com,5
bulawayo24.com,5
freightnet.com,5
mnn.com,5
africa-newsroom.com,5
chineseembassy.org,5
zehabesha.com,5
steelguru.com,5
herald.co.zw,5
economist.com,5
chinafile.com,4
brisbanetimes.com.au,4
fin24.com,4
rough-polished.com,4
arkansasonline.com,4
scoop.co.nz,4
mining.com,4
aussieontheroad.com,4
enca.com,4
upi.com,4
thepatriot.com.na,4
cairnspost.com.au,4
townsvillebulletin.com.au,4
nydailynews.com,4
newsadvance.com,4
wildlifenews.co.uk,4
proactiveinvestors.com.au,4
africa.tvcnews.tv,4
albawabhnews.com,4
dailytrust.com.ng,4
sen360.com,4
seneweb.com,4
defenseworld.net,4
cemnet.com,4
newtimes.co.rw,4
focusingonwildlife.com,3
bdlive.co.za,3
pr-inside.com,3
nehandaradio.com,3
radiowave.com.na,3
thenation.com,3
engineeringnews.co.za,3
modernghana.com,3
live-pr.com,3
anhuinews.com,3
africanglobe.net,3
china-africa-reporting.co.za,3
newzimbabwe.com,3
scmp.com,3
ippmedia.com,3
ghananewsagency.org,3
washingtonexaminer.com,3
arabic.cri.cn,3
whales.org,3
tralac.org,3
hellenicshippingnews.com,3
dailynews.co.tz,3
downtoearth.org.in,3
chinavitae.com,3
zimbabwesituation.com,3
