Country Name,FIPS-10 Code,Event Count,Average NumSources
Angola,AO,4885,1.0190
Benin,BN,647,1.0155
Burkina Faso,UV,2295,1.0305
Cameroon,CM,3789,1.0127
Central African Republic,CT,461,1.0499
"Congo, the Democratic Republic of the",CG,808,1.0272
Congo,CF,2673,1.0311
Equatorial Guinea,EK,665,1.1338
Gabon,GB,1759,1.0142
Gambia,GA,2747,1.0459
Ghana,GH,11663,1.0263
Guinea-Bissau,PU,341,1.0059
Liberia,LI,2817,1.0174
Mali,ML,4921,1.0429
Mauritania,MR,1342,1.0060
Namibia,WA,4650,1.0163
Niger,NG,1037,1.0289
Nigeria,NI,29100,1.0216
Senegal,SG,3646,1.0269
Sierra Leone,SL,3602,1.0105
Togo,TO,1446,1.0138
