Source Name,Mention Count
xinhuanet.com,192
china.org.cn,160
allafrica.com,149
midi-madagasikara.mg,133
daily-sun.com,73
newsmada.com,68
chinadaily.com.cn,62
ecns.cn,56
yahoo.com,46
lexpressmada.com,44
lagazette-dgi.com,39
reuters.com,39
peopledaily.com.cn,37
globaltimes.cn,33
french.cri.cn,32
channelnewsasia.com,32
dailymail.co.uk,27
presidence.gov.mg,26
business-standard.com,25
france24.com,24
ap.org,23
people.com.cn,23
scmp.com,22
asiaone.com,21
enca.com,21
BBC Monitoring,20
sott.net,20
sina.com,18
themalaymailonline.com,18
shanghaidaily.com,18
thedailycoin.org,17
couriermail.com.au,16
peoplesdailyng.com,15
thebangladeshtoday.com,15
jschina.com.cn,15
maritime-executive.com,15
prensa-latina.cu,15
freemalaysiatoday.com,14
fmprc.gov.cn,14
taipeitimes.com,14
africanbrains.net,14
theinternationalreporter.org,14
newsghana.com.gh,14
rfi.fr,13
madagate.org,12
msn.com,11
abs-cbn.com,11
4-traders.com,11
madagascar-tribune.com,11
cctv.com,11
chinamil.com.cn,11
en.gmw.cn,11
trust.org,11
moderndiplomacy.eu,11
malaysiandigest.com,10
indiatimes.com,10
mb.com.ph,10
tribune.com.pk,10
theguardian.com,10
mongabay.com,10
coastweek.com,10
malaysiakini.com,10
en.ce.cn,10
ibtimes.co.uk,10
modernghana.com,10
beatricedailysun.com,10
chippewa.com,10
gulfnews.com,10
kenyastar.com,10
news.com.au,9
bbc.com,9
ndtv.com,9
gulf-times.com,9
eastday.com,9
temoignages.re,9
mirror.co.uk,9
dailytimes.com.pk,9
dailyastorian.com,9
todayonline.com,9
lakroa.mg,8
manilatimes.net,8
seneweb.com,8
clicanoo.re,8
housseniawriting.com,8
ctvnews.ca,8
blogspot.com,8
thenewslens.com,8
mg.co.za,8
wordpress.com,8
pulse.ng,8
nation.com.pk,8
lasvegassun.com,8
nbcnews.com,8
africatime.com,8
webwire.com,8
conceptnewscentral.com,8
namibian.com.na,8
rappler.com,7
nzherald.co.nz,7
winonadailynews.com,7
tucson.com,7
