Source Name,Mention Count
lusakatimes.com,940
xinhuanet.com,613
znbc.co.zm,492
allafrica.com,462
daily-mail.co.zm,363
times.co.zm,325
fmprc.gov.cn,299
china.org.cn,279
chinadaily.com.cn,202
ecns.cn,161
zambiareports.com,157
postzambia.com,147
reuters.com,146
coastweek.com,135
themastonline.com,133
diggers.news,131
sina.com,111
en.ce.cn,105
globaltimes.cn,89
BBC Monitoring,84
ukzambians.co.uk,77
newsghana.com.gh,62
msn.com,57
zambianwatchdog.com,56
bulawayo24.com,52
4-traders.com,48
en.people.cn,47
dailynews.co.tz,45
chinamil.com.cn,45
jschina.com.cn,40
yahoo.com,39
zambiadailynation.com,38
itwebafrica.com,38
polity.org.za,38
globalconstructionreview.com,38
china.com,36
pulse.ng,32
tiozambia.com,32
shanghaidaily.com,31
focac.org,31
globalpost.com,31
modernghana.com,30
peopledaily.com.cn,29
zimbabwestar.com,29
dw.com,28
people.com.cn,28
afkinsider.com,28
en.gmw.cn,26
french.cri.cn,25
foreignaffairs.co.nz,25
infosurhoy.com,24
qz.com,24
businessghana.com,24
defenceweb.co.za,23
iol.co.za,23
today.ng,22
africabusinessforum.com,22
news24.com,22
finanznachrichten.de,22
arabic.news.cn,21
engineeringnews.co.za,21
africa-newsroom.com,20
english.cntv.cn,20
beijingbulletin.com,20
africaleader.com,20
blogspot.com,20
pulse.com.gh,20
cctv-africa.com,20
africatime.com,19
ghanaweb.com,19
southerntimesafrica.com,19
scmp.com,19
guardian.ng,19
thezimbabwedaily.com,18
investmentwatchblog.com,17
proactiveinvestors.co.uk,17
standardmedia.co.ke,17
howafrica.com,17
cgtn.com,17
malaysiandigest.com,16
herald.co.zw,16
sundaymail.co.zw,16
gbtimes.com,16
africanews.com,16
citifmonline.com,16
enca.com,16
chinanationalnews.com,15
miningweekly.com,15
bdlive.co.za,15
business-standard.com,15
globalsecurity.org,15
zibanizambia.com,14
marketwatch.com,14
thepresidentpost.com,14
chinadigitaltimes.net,13
india.com,13
dailytelegraph.com.au,13
thezimbabwemail.com,13
zimeye.net,13
businessinsider.com,13
republicoftogo.com,12
farmlandgrab.org,12
southernafrican.news,12
skyscrapercity.com,12
menafn.com,12
dailymaverick.co.za,12
frontpageafricaonline.com,12
sowetanlive.co.za,12
sputniknews.com,12
devdiscourse.com,12
sierraleonetimes.com,12
asokoinsight.com,12
mgafrica.com,12
mirror.co.uk,11
nigeriatoday.ng,11
albawabhnews.com,11
theafricareport.com,11
eastday.com,11
espanol.cri.cn,11
huffingtonpost.com,11
firstpost.com,11
face2faceafrica.com,11
zimbabwesituation.com,11
mwebantu.com,11
juniorminingnetwork.com,11
chineseembassy.org,10
thezambezian.com,10
businesstimes.co.tz,10
sakshipost.com,10
bjreview.com.cn,10
trust.org,10
ewn.co.za,10
the-star.co.ke,10
portugalglobal.pt,10
sen360.com,10
channelnewsasia.com,10
alarab-news.com,9
3yoon.co,9
nation.co.ke,9
chronicle.co.zw,9
emergingmarketscapital.net,9
wsj.com,9
wantchinatimes.com,9
dostor.org,9
dailymail.co.uk,9
voanews.com,9
abs-cbn.com,9
myjoyonline.com,9
moneyweb.co.za,9
heraldpalladium.com,9
irishmirror.ie,8
dailyrecord.co.uk,8
bbc.co.uk,8
shanghaiist.com,8
theepochtimes.com,8
cp-africa.com,8
socialistworker.co.uk,8
bbc.com,8
news24.com.ng,8
bernama.com,8
bignewsnetwork.com,8
bjreview.com,8
macauhub.com.mo,8
washingtonpost.com,8
kitco.com,8
businessdailyafrica.com,8
malaymail.com,8
sinodaily.com,8
journalducameroun.com,8
sott.net,8
satprnews.com,8
naija247news.com,8
jamaicatakeout.com,8
thedailycoin.org,8
straitstimes.com,7
customstoday.com.pk,7
tanzaniatoday.co.tz,7
nytimes.com,7
citizentv.co.ke,7
english.cri.cn,7
lasvegasnvblog.com,7
zambiawatchdog.com,7
bloomberg.com,7
monitor.co.ug,7
arabic.cntv.cn,7
agoravox.fr,7
newsday.co.zw,7
faceofmalawi.com,7
brinkwire.com,7
dnaindia.com,7
seriouslypolitics.com,7
nasdaq.com,7
africanarguments.org,7
observer.com.na,7
bwabtk.com,6
almmlke.com,6
elmonzar.net,6
elhadas.com,6
chinatopix.com,6
soutalomma.com,6
hillaac.net,6
bizcommunity.com,6
webindia123.com,6
sina.com.cn,6
china-africa-reporting.co.za,6
africanbusinessreview.co.za,6
fr.cntv.cn,6
footprint2africa.com,6
mining-technology.com,6
wordpress.com,6
thisisafricaonline.com,6
nextvame.com,6
worldbulletin.net,6
indiatimes.com,6
shanghaisun.com,6
economist.com,6
