Source Name,Mention Count
bulawayo24.com,2111
allafrica.com,1524
herald.co.zw,1261
thezimbabwemail.com,933
thezimbabwedaily.com,913
xinhuanet.com,835
chronicle.co.zw,626
zimbabwesituation.com,485
china.org.cn,454
chinadaily.com.cn,437
newsday.co.zw,374
nehandaradio.com,299
theindependent.co.zw,298
dailynews.co.zw,295
sundaymail.co.zw,277
newsdzezimbabwe.co.uk,269
yahoo.com,252
onlinenigeria.com,250
newzimbabwe.com,245
reuters.com,242
africajournalismtheworld.com,233
zbc.co.zw,230
zimeye.net,228
ecns.cn,186
zimbabwestar.com,179
iol.co.za,160
zimdaily.com,156
msn.com,155
news24.com,148
financialgazette.co.zw,147
thezimbabwean.co,146
thezimbabwenewslive.com,141
coastweek.com,134
insiderzim.com,131
globaltimes.cn,130
blogspot.com,129
times.co.zm,122
thestandard.co.zw,122
sina.com,118
en.people.cn,117
myzimbabwe.co.zw,114
english.cntv.cn,111
en.ce.cn,106
sundaynews.co.zw,101
zimbabwe-today.com,88
voazimbabwe.com,82
BBC Monitoring,82
dailymail.co.uk,75
ameripublications.com,74
peopledaily.com.cn,71
fmprc.gov.cn,69
jschina.com.cn,67
4-traders.com,65
people.com.cn,65
koreatimes.co.kr,65
dailytimes.com.pk,61
wn.com,61
modernghana.com,59
english.cri.cn,56
fr.cntv.cn,55
scmp.com,54
citizen.co.za,52
zimeye.com,49
french.cri.cn,49
globalpost.com,48
radiovop.com,47
thediplomat.com,46
channelnewsasia.com,46
theafricareport.com,45
businessinsider.com,45
apanews.net,45
salisburypost.com,44
theepochtimes.com,44
time.mk,43
slinkingtowardretirement.com,42
indiatimes.com,42
tjcnewspaper.com,41
standardmedia.co.ke,41
theguardian.com,41
ghanaweb.com,40
mychamplainvalley.com,40
chinamil.com.cn,40
womenofchina.cn,39
timeslive.co.za,38
enca.com,37
today.ng,37
smh.com.au,36
cnn.com,36
pazimbabwe.com,36
customstoday.com.pk,35
washingtonpost.com,34
pindula.co.zw,34
africatime.com,33
polity.org.za,32
wwntradio.com,32
bbc.com,32
ewn.co.za,32
equities.com,31
aa.com.tr,30
investmentunderground.com,30
digitaljournal.com,30
ap.org,29
qz.com,29
pulse.ng,29
theaustralian.com.au,29
masasieharare.com,29
afkinsider.com,28
thestandard.com.hk,28
thetimes.co.uk,28
prensa-latina.cu,28
worldbank.org,28
china.com,27
fin24.com,27
starafrica.com,27
nysepost.com,27
arabic.news.cn,27
zwnews.com,27
asokoinsight.com,27
cctv-africa.com,26
lusakatimes.com,26
jewocity.com,26
zimnews.net,26
foreignpolicy.com,25
shanghaidaily.com,25
iusbpreface.com,25
salisburyjournal.co.uk,25
sfgate.com,25
billsinsider.com,24
jamaicaobserver.com,24
bizcommunity.com,24
mg.co.za,23
menafn.com,23
business-standard.com,23
mgafrica.com,23
arabic.cntv.cn,23
seatingchair.com,23
trust.org,23
nzherald.co.nz,23
techzim.co.zw,22
anhuinews.com,22
defenceweb.co.za,22
humanitariannews.org,22
abc17news.com,22
globalsecurity.org,22
angop.ao,22
sputniknews.com,22
couriermail.com.au,22
publimetro.cl,22
sunrise2all.com,21
biznews.com,21
capitalfm.co.ke,21
manicapost.com,21
bbc.co.uk,21
france24.com,21
lidtime.com,21
bsccomment.com,21
wsoctv.com,21
kvia.com,21
guardian.ng,21
nation.co.ke,21
chinadigitaltimes.net,20
bjreview.com,20
cnbc.com,20
nationalaccordnewspaper.com,20
chinatopix.com,20
malaysiandigest.com,20
krcrtv.com,20
krdo.com,20
newsghana.com.gh,19
theconversation.com,19
nytimes.com,19
chron.com,19
ktvz.com,19
journalducameroun.com,19
telegraph.co.uk,18
cnbcafrica.com,18
straitstimes.com,18
thenewstelegraph.com,18
afriqueexpansion.com,18
tribune.com.pk,18
the-star.co.ke,18
livenewscentral.com,18
stltoday.com,18
kesq.com,18
theage.com.au,18
asianews.it,18
howafrica.com,18
fruitnet.com,18
en.rfi.fr,18
globalconstructionreview.com,17
southernafrican.news,17
reliefweb.int,17
arabic.cri.cn,17
newvision.co.ug,17
sen360.com,17
ibtimes.com,17
china-africa-reporting.co.za,17
recorderpost.com,17
sacredheartspectrum.com,17
ibtimes.co.uk,17
romandie.com,17
news-sentinel.com,17
siouxlandproud.com,17
yourbasin.com,17
centexproud.com,17
