"","Source Name","Mention Count"
"1","armenpress.am",2419
"2","news.am",617
"3","panorama.am",486
"4","panarmenian.net",362
"5","hraparak.am",313
"6","tert.am",162
"7","aysor.am",139
"8","nt.am",96
"9","oratert.com",95
"10","azatutyun.am",87
"11","armradio.am",77
"12","aravot.am",75
"13","lragir.am",75
"14","en.a1plus.am",74
"15","times.am",71
"16","hetq.am",67
"17","nyut.am",62
"18","yerkir.am",62
"19","armenianow.com",59
"20","armtimes.com",49
"21","golosarmenii.am",49
"22","arminfo.info",47
"23","nv.am",37
