"","Source Name","Mention Count"
"1","thedailystar.net",2429
"2","dhakatoday.com",1617
"3","dhakatribune.com",1042
"4","newstoday.com.bd",871
"5","bdnews24.com",732
"6","daily-sun.com",730
"7","bssnews.net",695
"8","clickittefaq.com",517
"9","bangladeshsun.com",483
"10","banglanews24.com",465
"11","thedailynewnation.com",453
"12","thefinancialexpress-bd.com",424
"13","thebangladeshtoday.com",329
"14","prothom-alo.com",294
"15","albd.org",229
"16","firstpost.com",221
"17","vnewsbd.com",200
"18","theindependentbd.com",199
"19","businessnews-bd.com",177
"20","dhakacourier.com.bd",171
"21","bangladeshchronicle.net",162
"22","sylhettimes.com",148
