Source Name,Mention Count
thedailystar.net,2429
dhakatoday.com,1617
xinhuanet.com,1308
dhakatribune.com,1042
newstoday.com.bd,871
bdnews24.com,732
daily-sun.com,730
china.org.cn,720
aninews.in,709
bssnews.net,695
business-standard.com,538
sina.com,528
clickittefaq.com,517
bangladeshsun.com,483
yahoo.com,480
banglanews24.com,465
thedailynewnation.com,453
reuters.com,430
thefinancialexpress-bd.com,424
chinadaily.com.cn,397
ecns.cn,378
indiatimes.com,338
thebangladeshtoday.com,329
asianews.network,325
chinanationalnews.com,323
globaltimes.cn,305
prothom-alo.com,294
BBC Monitoring,266
albd.org,229
firstpost.com,221
en.ce.cn,208
thehindu.com,203
vnewsbd.com,200
en.gmw.cn,199
theindependentbd.com,199
en.people.cn,185
taiwansun.com,179
businessnews-bd.com,177
defence.pk,176
peopledaily.com.cn,171
dhakacourier.com.bd,171
sify.com,167
netindia123.com,162
bangladeshchronicle.net,162
indianexpress.com,158
india.com,157
chinamil.com.cn,153
people.com.cn,150
sylhettimes.com,148
idrw.org,143
priyo.com,141
ittefaq.com.bd,140
jagonews24.com,134
arabic.news.cn,131
newagebd.net,127
unb.com.bd,126
wsws.org,122
webindia123.com,118
businessnews24bd.com,111
gulf-times.com,111
bjreview.com,108
trust.org,104
risingbd.com,104
indiatoday.intoday.in,104
dailymail.co.uk,103
channelnewsasia.com,102
nationmultimedia.com,101
shanghaidaily.com,100
kalerkantho.com,99
financialexpress.com,99
prokerala.com,99
asiaone.com,92
hindi.cri.cn,91
latestbdnews.com,91
bjreview.com.cn,91
eurasiareview.com,90
tribuneindia.com,90
4-traders.com,90
dailynayadiganta.com,89
thefinancialexpress.com.bd,89
hindustantimes.com,89
beijingbulletin.com,86
scmp.com,86
thestatesman.com,86
dnaindia.com,85
southeastasiapost.com,84
bd-pratidin.com,82
orfonline.org,79
newkerala.com,78
hongkongherald.com,77
newshub.org,76
msn.com,76
thestar.com.my,76
samakal.net,73
thenews.com.pk,73
prothomalo.com,72
shanghainews.net,72
newshour.com.bd,72
banglamirrornews.com,72
dawn.com,71
asianews.it,70
defencenews.in,70
malaysiasun.com,70
skyscrapercity.com,70
fmprc.gov.cn,69
customstoday.com.pk,69
newsnextbd.com,69
nripress.com,66
ndtv.com,65
cctv.com,65
irna.ir,64
benarnews.org,63
bloomberg.com,62
bignewsnetwork.com,62
asianage.com,62
livemint.com,61
mangalorean.com,61
themalaymailonline.com,60
energybangla.com,60
newzealandstar.com,60
siasat.com,59
ap.org,59
chinatopix.com,58
ptinews.com,58
deccanchronicle.com,58
china.com,58
nepalnational.com,57
oneindia.com,57
arabnews.com,57
canindia.com,57
straitstimes.com,57
japantimes.co.jp,55
bangkokpost.com,55
pakistantelegraph.com,55
1newsbd.com,55
bonikbarta.com,55
daijiworld.com,55
worldbank.org,54
scroll.in,54
myanmarnews.net,53
singaporestar.com,53
newsnow.in,52
atimes.com,52
thehansindia.com,51
jschina.com.cn,50
thediplomat.com,50
arthosuchak.com,50
ekantipur.com,50
vietnamtribune.com,50
primenews.com.bd,50
thejakartapost.com,50
businessinsider.com,50
fibre2fashion.com,49
rfa.org,48
newsbd71.com,48
outlookindia.com,47
suprobhat.com,47
asiabulletin.com,46
todayonline.com,46
shanghaisun.com,45
french.cri.cn,44
menafn.com,44
northeasttoday.in,42
azerbaijannews.net,42
hellenicshippingnews.com,41
mofa.gov.bd,41
bartamankantho.com,41
ianslive.in,41
forbes.com,41
wn.com,40
thecitizen.in,40
thehimalayantimes.com,40
brecorder.com,40
mizzima.com,40
dailytimes.com.pk,40
austinglobe.com,40
nytimes.com,40
newageislam.com,40
observerbd.com,40
thehindubusinessline.com,39
inquirer.net,39
tribune.com.pk,39
irrawaddy.com,39
dailyo.in,38
bangladeshinfo.com,38
russiaherald.com,38
theweek.in,38
elevenmyanmar.com,37
thaivisa.com,37
