Source Name,Mention Count
fasopresse.net,5405
allafrica.com,128
china.org.cn,125
xinhuanet.com,121
aouaga.com,105
sidwaya.bf,105
juniorminingnetwork.com,99
reuters.com,87
lefaso.net,82
yahoo.com,63
fmprc.gov.cn,61
peopledaily.com.cn,56
aib.bf,55
people.com.cn,46
msn.com,44
journalducameroun.com,37
ecns.cn,32
fasozine.com,28
dailymail.co.uk,28
beijingreview.com.cn,26
trust.org,25
modernghana.com,24
castanet.net,24
chinadaily.com.cn,23
prensa-latina.cu,23
cgtn.com,23
globaltimes.cn,22
swissinfo.ch,22
btvi.in,22
infosurhoy.com,21
lepays.bf,21
jeuneafrique.com,21
apanews.net,21
arabic.news.cn,21
today.ng,18
shine.cn,18
thenewsnigeria.com.ng,18
italian.cri.cn,18
sina.com,18
chineseembassy.org,17
brinkwire.com,17
devdiscourse.com,17
sinodaily.com,17
freemalaysiatoday.com,16
taipeitimes.com,15
burkina24.com,15
taiwannews.com.tw,15
channelnewsasia.com,15
thenews.com.pk,14
romandie.com,13
indiatimes.com,13
scmp.com,13
indiatoday.in,12
sierraleonetimes.com,12
journaldebrazza.com,12
iol.co.za,12
outlookindia.com,12
thediplomat.com,12
afropages.fr,12
angop.ao,11
manilatimes.net,10
dawn.com,10
myjoyonline.com,10
hindi.cri.cn,10
ptinews.com,10
cameroon-tribune.cm,10
en.people.cn,9
french.cri.cn,9
ltn.com.tw,9
businessinsider.com,9
dainiksaveratimes.com,9
bjreview.com,9
voanews.com,9
ad-hoc-news.de,9
howafrica.com,9
journaldumali.com,9
the-japan-news.com,9
nation.co.ke,8
channelstv.com,8
slinkingtowardretirement.com,8
ghanaiantimes.com.gh,8
thestar.com.my,8
onlinenigeria.com,8
ghanaweb.com,8
naija247news.com,8
ap.org,8
dostor.org,8
BBC Monitoring,8
mb.com.ph,8
blogspot.com,7
telemetro.com,7
canberratimes.com.au,7
aguasdigital.com,7
newsghana.com.gh,7
theage.com.au,7
brisbanetimes.com.au,7
smh.com.au,7
5minutes.rtl.lu,7
rfi.fr,7
theshillongtimes.com,7
icilome.com,7
eyeontaiwan.com,7
cote-d-ivoire.net,7
watoday.com.au,7
njherald.com,6
nypost.com,6
terradaily.com,6
fredericksburg.com,6
intellasia.net,6
naharnet.com,6
omanobserver.om,6
vancouversun.com,6
focustaiwan.tw,6
beritasatu.com,6
the-star.co.ke,6
whig.com,6
malijet.com,6
spacewar.com,6
odt.co.nz,6
news24.com,6
enca.com,6
defenceweb.co.za,6
oann.com,6
mvariety.com,6
focus-news.net,6
businessdayonline.com,6
elperiodicodemexico.com,6
intellivoire.net,5
lepetitjournal.com,5
tv5monde.com,5
maliweb.net,5
cameroun24.net,5
dhakatribune.com,5
hastingstribune.com,5
lepoint.fr,5
gouvernement.gov.bf,5
todayonline.com,5
theguardian.com,5
nation.com.pk,5
dailymailnews.com,5
infosplusgabon.com,5
diariolibre.com,5
rtb.bf,5
24heures.ch,5
investing.com,5
mali-web.org,5
seattlepi.com,5
izf.net,5
kob.com,5
quadrangleonline.com,5
africacenter.org,4
starherald.com,4
koaci.com,4
prensa.com,4
vanguardngr.com,4
es.rfi.fr,4
ottawacitizen.com,4
elcomercio.com,4
laestrella.com.pa,4
fiu.edu,4
tolerance.ca,4
businessincameroon.com,4
bignewsnetwork.com,4
montrealgazette.com,4
calgaryherald.com,4
wn.com,4
alwihdainfo.com,4
japantimes.co.jp,4
nydailynews.com,4
bloomberg.com,4
pmnewsnigeria.com,4
nacion.com,4
mysanantonio.com,4
helihub.com,4
hispantv.com,4
lfpress.com,4
heraldstandard.com,4
lemonde.fr,4
business-standard.com,4
businessghana.com,4
listindiario.com,4
portuguese.cri.cn,4
radiolaprimerisima.com,4
thestarphoenix.com,4
iusbpreface.com,4
timesofoman.com,4
alakhbar.info,4
590kid.com,4
elmundo.sv,4
abc.com.py,4
it-online.co.za,4
20min.ch,4
german.cri.cn,4
thehindu.com,4
diariocordoba.com,4
lenouvelliste.com,4
elnuevodiario.com.ni,4
borneobulletin.com.bn,4
cantoncaller.com,4
houstonchronicle.com,4
cumberlink.com,4
china.com,4
ejinsight.com,4
espanol.cri.cn,4
thisdaylive.com,3
acento.com.do,3
letelegramme.fr,3
click2houston.com,3
politics.com.ph,3
augustareview.com,3
cameroon-info.net,3
channel3000.com,3
thesundaily.my,3
nytimes.com,3
aaj.tv,3
jschina.com.cn,3
archdaily.com,3
efe.com,3
lintelligentdabidjan.info,3
hoy.com.do,3
local10.com,3
medias24.com,3
voiceofalexandria.com,3
straitstimes.com,3
news4jax.com,3
news8000.com,3
bostonglobe.com,3
voaswahili.com,3
australiannews.net,3
post-gazette.com,3
gbtimes.com,3
lematin.ch,3
parismatch.com,3
africanews.com,3
express.co.uk,3
journaldujura.ch,3
nazret.com,3
charlotteobserver.com,3
egynews.net,3
francesoir.fr,3
elsalvador.com,3
africadaily.net,3
star-telegram.com,3
redamf21.com,3
asahi.com,3
lanaciondominicana.com,3
clickorlando.com,3
nouvelobs.com,3
localnews8.com,3
heraldcourier.com,3
thedailystar.net,3
financialexpress.com,3
rtl.be,3
journaldutchad.com,3
en.ce.cn,3
albawabhnews.com,3
muscatinejournal.com,3
gbcghana.com,3
clickondetroit.com,3
bjreview.com.cn,3
townhall.com,3
ledevoir.com,3
abc17news.com,3
cachevalleydaily.com,3
netscape.com,3
comminit.com,2
lyonne.fr,2
nhregister.com,2
thenationonlineng.net,2
thehour.com,2
registercitizen.com,2
askanews.it,2
beaumontenterprise.com,2
ipolitics.ca,2
isaaa.org,2
globalsecurity.org,2
egyptindependent.com,2
sacbee.com,2
alome.com,2
chinapost.com.tw,2
seattletimes.com,2
fresnobee.com,2
abidjan.net,2
chinanationalnews.com,2
tvanouvelles.ca,2
diario1.com,2
newstoday.com.bd,2
somaliupdate.com,2
middletownpress.com,2
malaysiandigest.com,2
heritage.org,2
ourmidland.com,2
lemaghrebdz.com,2
dw.com,2
thenewstribune.com,2
nordlittoral.fr,2
ancient-origins.net,2
newstimes.com,2
tbo.com,2
alwast.net,2
theconversation.com,2
menafn.com,2
russian.news.cn,2
mercedsunstar.com,2
slateafrique.com,2
macaudailytimes.com.mo,2
bendbulletin.com,2
elperiodicodearagon.com,2
globalpost.com,2
sanluisobispo.com,2
argaam.com,2
kitco.com,2
nyhetsbanken.info,2
trincheraonline.com,2
therepublic.com,2
bcdemocrat.com,2
africabusiness.com,2
bulawayo24.com,2
ghananewsagency.org,2
lexpress.mu,2
miamiherald.com,2
presstv.ir,2
challenges.fr,2
newsline.com,2
mainichi.jp,2
argus-press.com,2
mrt.com,2
indianexpress.com,2
nasdaq.com,2
stripes.com,2
sfgate.com,2
nzherald.co.nz,2
iisd.org,2
the-journal.com,2
ibn-tv.com,2
foreignaffairs.co.nz,2
rtfitchauthor.com,2
maliactu.net,2
greenwichtime.com,2
presidence.bf,2
zpravy.aktualne.cz,2
agprofessional.com,2
myrtlebeachonline.com,2
elpais.cr,2
latribuna.hn,2
presse-dz.com,2
wsws.org,2
atimes.com,2
idahostatesman.com,2
tibet.fr,2
bradenton.com,2
newsroomamerica.com,2
timesunion.com,2
20minutes.fr,2
beloitdailynews.com,2
wral.com,2
europe1.fr,2
thechronicleherald.ca,2
ipsnews.net,2
it.radiovaticana.va,2
inprofiledaily.com,2
arabic.cri.cn,2
lexpress.fr,2
africatime.com,2
ibtimes.co.uk,2
abs-cbn.com,2
westoverreview.com,2
eremnews.com,2
bloombergquint.com,2
financialafrik.com,2
chron.com,2
elperiodicoextremadura.com,2
sfchronicle.com,2
elmasacre.com,2
theintelligencer.com,2
myjournalcourier.com,2
kansas.com,2
hindustantimes.com,2
agoravox.fr,2
ledger-enquirer.com,2
legriot.info,2
cnbc.com,2
thefiscaltimes.com,2
readingeagle.com,2
chinaplus.cri.cn,2
africaintelligence.com,2
bnd.com,2
sunherald.com,2
ezp.net,2
newsweek.com,2
metronews.fr,2
afrique.latribune.fr,2
france24.com,2
bonhamjournal.com,2
wnmtradio.com,2
go.com,2
elperiodico.com,2
globalissues.org,2
myplainview.com,2
michigansthumb.com,2
thezimbabwedaily.com,2
rpp.pe,2
newvision.co.ug,2
mtnvnews.com,2
rappler.com,2
rawstory.com,2
iljournal.today,2
protothema.gr,2
islandpacket.com,2
nikkei.com,2
bellinghamherald.com,2
jakartaglobe.id,2
leparisien.fr,2
koulouba.com,2
africajournalismtheworld.com,2
ofm.co.za,2
leadership.ng,2
camer.be,2
lopinion.ma,2
sharenet.co.za,2
ctpost.com,2
microcapital.org,2
ecuadorenvivo.com,2
tri-cityherald.com,2
theolympian.com,2
fairfieldcitizenonline.com,2
westport-news.com,2
elnacional.com.do,2
alufuqnews.com,2
macon.com,2
nehandaradio.com,2
expressnews.com,2
newsobserver.com,2
thetelegraph.com,2
senegal-actu.com,2
eldia.com.do,2
rtvusk.ba,1
seat31b.com,1
medicinehatnews.com,1
wradio.com.co,1
premiumtimesng.com,1
newstage.com.ng,1
tucson.com,1
regnum.ru,1
pulse.com.gh,1
diploweb.com,1
journal.com.ph,1
malaymail.com,1
shephardmedia.com,1
wam.ae,1
missoulian.com,1
alittihad.ae,1
thevoiceslu.com,1
humanitariannews.org,1
eastasiaforum.org,1
en.aps.dz,1
sunnewsonline.com,1
lethbridgeherald.com,1
human-wrongs-watch.net,1
pulseheadlines.com,1
seekingalpha.com,1
verlagshaus-jaumann.de,1
wsj.com,1
centrafrique-presse.info,1
newsdzezimbabwe.co.uk,1
bssnews.net,1
destinyconnect.com,1
inkstonenews.com,1
pentictonherald.ca,1
wlec.com,1
askanisenegambia.com,1
newsok.com,1
stltoday.com,1
cooperativa.cl,1
fokus.ba,1
ndtv.com,1
africa-me.com,1
thedailynewnation.com,1
khmertimeskh.com,1
english.cri.cn,1
theprogressnews.com,1
24horas.cl,1
kuwaittimes.net,1
rtn.ch,1
bbc.com,1
liberte-algerie.com,1
agenceafrique.com,1
laliberte.ch,1
diarioinenglish.com,1
japanherald.com,1
businessnews.com.tn,1
swiowanewssource.com,1
streetinsider.com,1
lillooetnews.net,1
mobile.lemonde.fr,1
kpvi.com,1
rfj.ch,1
thecourierexpress.com,1
focus.ua,1
graphic.com.gh,1
daargroup.com,1
westplainsdailyquill.net,1
dailytimes.com.pk,1
periodistadigital.com,1
smallcappower.com,1
agenceecofin.com,1
qcodemag.it,1
trurodaily.com,1
theepochtimes.com,1
thyblackman.com,1
ctvnews.ca,1
foxnews.com,1
corsematin.com,1
indepthnews.net,1
alquds.com,1
chroniclejournal.com,1
thezimbabwemail.com,1
pulse.ng,1
togosite.com,1
justsecurity.org,1
huffingtonpost.com,1
elwtanews.net,1
idrw.org,1
lasprovincias.es,1
la-croix.com,1
africanexaminer.com,1
newsoptimist.ca,1
ngnews.ca,1
lessentiel.lu,1
finanza.repubblica.it,1
timeslive.co.za,1
startribune.com,1
alhayat.com,1
terre-net.fr,1
reliefweb.int,1
togodiplomatie.info,1
rti.ci,1
peoplesdailyng.com,1
abamako.com,1
chinamil.com.cn,1
jagran.com,1
lancasteronline.com,1
manilastandard.net,1
axios.com,1
elbashayeronline.com,1
capebretonpost.com,1
inquirer.net,1
reporterbf.net,1
thebangladeshtoday.com,1
chicagotribune.com,1
lapresse.ca,1
tribune.com.pk,1
ouestaf.com,1
nan.ng,1
nlsguinee.com,1
sciencepost.fr,1
chronicle.co.zw,1
zocalo.com.mx,1
pioneernews.in,1
paris-normandie.fr,1
sudbury.com,1
orissapost.com,1
connectionivoirienne.net,1
webindia123.com,1
mining-technology.com,1
plenglish.com,1
aleqt.com,1
prnewswire.com,1
lantidiplomatico.it,1
nordeclair.fr,1
csmonitor.com,1
refworld.org,1
newsbug.info,1
biztechafrica.com,1
salamtoronto.ca,1
alokitobangladesh.com,1
i-policy.org,1
oleantimesherald.com,1
gazetademaramures.ro,1
alwasat.ly,1
lenouvelliste.ch,1
latribune.fr,1
novinky.cz,1
digitaljournal.com,1
lemag.ma,1
bgdailynews.com,1
gaeubote.de,1
memri.org,1
amnesty.org,1
i24news.tv,1
indexoncensorship.org,1
elpasoinc.com,1
vice.com,1
africa-info.org,1
bamada.net,1
kelownadailycourier.ca,1
ladepeche.fr,1
canadianinquirer.net,1
sootoday.com,1
ktvq.com,1
computerworld.ch,1
bbc.co.uk,1
newsadvance.com,1
japantoday.com,1
afriquesenlutte.org,1
tdg.ch,1
acotonou.com,1
cridem.org,1
thevision.com,1
ultima-ora.zazoom.it,1
popherald.com,1
lepointsur.com,1
qctimes.com,1
federalna.ba,1
