Source Name,Mention Count
china.org.cn,34
xinhuanet.com,27
inforpress.publ.cv,20
portugalglobal.pt,16
angop.ao,14
4-traders.com,14
macaudailytimes.com.mo,11
africatime.com,9
sina.com,8
french.cri.cn,8
expressodasilhas.cv,8
africanews.com,6
chinadaily.com.cn,5
abola.pt,5
anacao.cv,4
en.ce.cn,4
jn.pt,4
worldbulletin.net,4
governo.cv,4
tourism-review.com,4
allafrica.com,4
ecns.cn,4
en.people.cn,3
dn.pt,3
people.com.cn,3
asiabulletin.com,3
rtp.pt,3
macauhub.com.mo,3
gcs.gov.mo,3
hojemacau.com.mo,2
jornaldeangola.sapo.ao,2
fmprc.gov.cn,2
medafricatimes.com,2
hinews.cn,2
albawabhnews.com,2
portaldeangola.com,2
portuguese.cri.cn,2
pt.rfi.fr,2
cornishguardian.co.uk,1
thediplomat.com,1
telecinco.es,1
peopledaily.com.cn,1
prnewswire.com,1
itnewsonline.com,1
espanol.cri.cn,1
tmcnet.com,1
german.cri.cn,1
expressodasilhas.sapo.cv,1
mirror.co.uk,1
asemana.publ.cv,1
africa-newsroom.com,1
rtc.cv,1
lemonde.fr,1
arabic.news.cn,1
inquisitr.com,1
sidwaya.bf,1
fr.cntv.cn,1
