Source Name,Mention Count
alwatwan.net,57
xinhuanet.com,49
peopledaily.com.cn,24
china.org.cn,21
ecns.cn,16
people.com.cn,14
globaltimes.cn,12
allafrica.com,12
mayottehebdo.com,10
french.cri.cn,7
chinadaily.com.cn,7
sputniknews.com,6
asianewsnet.net,6
fr.cntv.cn,6
arabic.news.cn,6
chinaplus.cri.cn,6
cimsec.org,5
4-traders.com,4
sina.com,4
coastweek.com,4
globalpost.com,4
unwomen.org,4
novinky.cz,4
africacenter.org,3
apanews.net,3
espanol.cri.cn,3
english.cri.cn,3
rencontres-webcams.net,3
shanghaidaily.com,3
taiwansun.com,3
la1ere.francetvinfo.fr,3
cridem.org,2
africatimes.com,2
africaleader.com,2
chineseembassy.org,2
prensa-latina.cu,2
seychellesnewsagency.com,2
english.cntv.cn,1
newindianexpress.com,1
avvenire.it,1
lemag.ma,1
thehansindia.com,1
journalducameroun.com,1
franceinter.fr,1
fmprc.gov.cn,1
informador.mx,1
dailypioneer.com,1
theweek.in,1
taipeitimes.com,1
journaldumali.com,1
ceskatelevize.cz,1
goal.com,1
journaldutchad.com,1
zonebourse.com,1
dnaindia.com,1
arabic.cri.cn,1
alhadassonline.com,1
journaldebrazza.com,1
BBC Monitoring,1
beit-salam.km,1
