Source Name,Mention Count
allafrica.com,168
xinhuanet.com,161
adiac-congo.com,134
china.org.cn,114
reuters.com,109
yahoo.com,83
chinamil.com.cn,69
chinadaily.com.cn,68
journaldebrazza.com,51
en.ce.cn,44
miningweekly.com,44
innercitypress.com,44
ecns.cn,40
indiatimes.com,37
sina.com,36
4-traders.com,34
people.com.cn,30
alwihdainfo.com,30
portail242.info,29
peopledaily.com.cn,29
bloomberg.com,28
en.people.cn,27
msn.com,27
iol.co.za,27
dac-presse.com,26
en.gmw.cn,25
journalducameroun.com,22
brantfordexpositor.ca,21
apanews.net,21
modernghana.com,21
france24.com,20
dailymail.co.uk,19
business-standard.com,19
oeildafrique.com,19
ap.org,19
africatime.com,18
nation.co.ke,17
french.cri.cn,17
globaltimes.cn,17
mining.com,16
jamaicaobserver.com,16
journaldumali.com,16
hellenicshippingnews.com,14
asianews.network,14
cpifinancial.net,14
bjreview.com,14
africajournalismtheworld.com,14
zimbabwestar.com,14
BBC Monitoring,14
strategypage.com,13
thegardenisland.com,13
scmp.com,13
arabic.news.cn,13
washingtonpost.com,13
goal.com,12
jeuneafrique.com,12
enca.com,12
chinaplus.cri.cn,12
miningne.ws,12
nikkei.com,12
timesofearth.com,12
channelnewsasia.com,11
beijingreview.com.cn,11
digitalcongo.net,11
businessinsider.com,11
mediacongo.net,11
reliefweb.int,11
bdlive.co.za,11
eastday.com,11
africadaily.net,11
congo-site.com,11
anhuinews.com,11
tucson.com,10
en.rfi.fr,10
newvision.co.ug,10
terradaily.com,10
camer.be,10
demainlenouveaucongobrazzaville.org,10
engineeringnews.co.za,10
nytimes.com,10
bangkokpost.com,10
coastweek.com,10
lasemaineafricaine.net,10
hindi.cri.cn,10
metalbulletin.com,10
rtvslo.si,9
telecinco.es,9
spyghana.com,9
sott.net,9
countercurrents.org,9
afriquinfos.com,9
newsghana.com.gh,9
afropages.fr,8
laprosperiteonline.net,8
chinapost.com.tw,8
cnbc.com,8
afkinsider.com,8
asianage.com,8
fasopresse.net,8
groupelavenir.org,8
africaleader.com,8
ethiosun.com,8
dailyherald.com,8
sen360.com,8
tanjug.rs,8
pagesafrik.info,8
cctv.com,8
digitaljournal.com,8
lebeninois.net,8
africanews.com,8
lastampa.it,8
english.cntv.cn,7
kongotimes.info,7
miningnews.net,7
daytondailynews.com,7
in2eastafrica.net,7
icilome.com,7
espanol.cri.cn,7
news24.com,7
japantimes.co.jp,7
nasdaq.com,7
investingnews.com,7
english.cri.cn,7
krstarica.com,7
slateafrique.com,7
dissidentvoice.org,7
greenwichtime.com,7
financialpost.com,7
straitstimes.com,7
lemonde.fr,7
leadership.ng,7
taiwansun.com,7
journaldutchad.com,7
china.com,7
theafricareport.com,6
freemalaysiatoday.com,6
timesnownews.com,6
africacenter.org,6
wcfcourier.com,6
beaumontenterprise.com,6
bjreview.com.cn,6
seekingalpha.com,6
newbusinessethiopia.com,6
foxbusiness.com,6
mysanantonio.com,6
mining-journal.com,6
starafrica.com,6
newser.com,6
ksro.com,6
technewsworld.com,6
expatica.com,6
billingsgazette.com,6
independent.co.uk,6
t-online.de,6
mgafrica.com,6
annaharkw.com,6
townhall.com,6
durangoherald.com,6
infosplusgabon.com,6
capitalfm.co.ke,6
ajot.com,6
businesstimes.com.sg,6
pambazuka.org,6
ewn.co.za,6
wordpress.com,6
citizen.co.za,6
bulawayo24.com,6
herald.co.zw,5
angop.ao,5
cameroun24.net,5
lephareonline.net,5
afrik.com,5
themalaymailonline.com,5
ottawacitizen.com,5
scoop.co.nz,5
cameroononline.org,5
sharenet.co.za,5
medafricatimes.com,5
idexonline.com,5
greensboro.com,5
gnnliberia.com,5
naharnet.com,5
i24news.tv,5
womenofchina.cn,5
lacrossetribune.com,5
telegraph.co.uk,5
ghanaweb.com,5
wral.com,5
ctpost.com,5
