Source Name,Mention Count
abidjan.net,136
china.org.cn,82
xinhuanet.com,51
koaci.com,50
reuters.com,40
allafrica.com,36
yahoo.com,34
goal.com,30
apanews.net,17
ap.org,16
lepointsur.com,15
jeuneafrique.com,15
cote-d-ivoire.net,15
gouv.ci,14
journaldumali.com,14
capitalfm.co.ke,14
people.com.cn,13
modernghana.com,13
journaldebrazza.com,13
capitalradiomalawi.com,12
defenceweb.co.za,12
peopledaily.com.cn,12
tt.com,12
fourfourtwo.com,11
bloomberg.com,11
icilome.com,10
dailymail.co.uk,10
news24.com,10
fasopresse.net,9
sen360.com,9
financialafrik.com,9
ghanaweb.com,9
theafricareport.com,8
enca.com,8
rti.ci,8
seneweb.com,8
gulf-times.com,8
nigeriatoday.ng,8
bloombergquint.com,7
aouaga.com,7
4-traders.com,7
starafrica.com,7
africatime.com,7
heraldtribune.com,6
24heures.ch,6
wsbradio.com,6
ghananewsagency.org,6
corsematin.com,6
bamada.net,5
stokesentinel.co.uk,5
journalducameroun.com,5
latribune.fr,5
thesundaily.my,5
chinadaily.com.cn,5
onlinenigeria.com,5
hawaiinewsnow.com,5
notrevoie.com,5
business-standard.com,5
msn.com,5
citizen.co.za,5
today.ng,5
aip.ci,5
nan.ng,5
royalnews.com.ng,5
hongkongfp.com,5
kerkida.net,4
informateur.info,4
niyitabiti.net,4
lalibre.be,4
taringa.net,4
findlaw.com,4
hellenicshippingnews.com,4
lepatriote.net,4
french.cri.cn,4
timescolonist.com,4
mynorthwest.com,4
wbrc.com,4
byu.edu,4
daytondailynews.com,4
prnewswire.com,4
sierraexpressmedia.com,4
sifutbol.com,4
newsok.com,4
ksby.com,4
guardian.ng,4
wfsb.com,4
greenwichtime.com,4
bangkokpost.com,4
lapresse.ca,4
newsmax.com,4
kctv5.com,4
journaldutchad.com,4
salonemonitor.net,4
wandtv.com,4
sina.com,4
engineeringnews.co.za,4
fratmat.info,4
presidence.ci,4
fox8live.com,4
gbtimes.com,4
news-sentinel.com,4
innercitypress.com,4
connectionivoirienne.net,4
romandie.com,4
sbs.com.au,4
klkntv.com,4
lavenir.net,4
prensa-latina.cu,4
kbzk.com,3
sabc.co.za,3
cameroun24.net,3
bssnews.net,3
azfamily.com,3
outlookindia.com,3
fox5vegas.com,3
news957.com,3
koulouba.com,3
metro.co.uk,3
kdhnews.com,3
skift.com,3
afrique-sur7.fr,3
thehour.com,3
heraldmalaysia.com,3
africa-me.com,3
guadeloupe.franceantilles.fr,3
stripes.com,3
presstv.ir,3
terradaily.com,3
mcall.com,3
providencejournal.com,3
born2invest.com,3
awoko.org,3
ibtimes.co.uk,3
linformaticien.com,3
ctpost.com,3
nigeriasun.com,3
bostonglobe.com,3
lexpress.mu,3
ladepechedabidjan.info,3
stamfordadvocate.com,3
chron.com,3
palmbeachpost.com,3
africa-newsroom.com,3
francetvinfo.fr,3
swissinfo.ch,3
medafricatimes.com,3
linfodrome.com,3
lesahel.org,3
freightnet.com,3
rotativo.com.mx,3
newstimes.com,3
thesouthern.com,3
BBC Monitoring,3
itchannel.info,3
elnahar-news.com,3
coastweek.com,3
scmp.com,3
beijingreview.com.cn,2
tucson.com,2
northwestgeorgianews.com,2
thenerveafrica.com,2
