"","Source Name","Mention Count"
"1","albawabhnews.com",2702
"2","ahram.org.eg",2026
"3","vetogate.com",1600
"4","elbalad.news",1542
"5","el-balad.com",1541
"6","dostor.org",1515
"7","almasryalyoum.com",1148
"8","shorouknews.com",1080
"9","elbashayeronline.com",809
"10","egynews.net",638
"11","egypttoday.com",617
"12","soutalomma.com",609
"13","dailynewsegypt.com",598
"14","elmethaq.net",548
"15","hamrinnews.net",449
"16","almalnews.com",440
"17","elfagr.com",431
"18","nile.eg",416
"19","akhbarelyom.com",409
"20","elwatannews.com",390
