Source Name,Mention Count
xinhuanet.com,239
thepoint.gm,228
allafrica.com,192
chinadaily.com.cn,159
freedomnewspaper.com,155
fmprc.gov.cn,144
china.org.cn,109
foroyaa.gm,101
sina.com,92
ecns.cn,91
gambianewsonline.com,78
yahoo.com,73
globaltimes.cn,56
westernadvocate.com.au,54
observer.gm,54
en.people.cn,53
reuters.com,49
focustaiwan.tw,47
jollofnews.com,41
chineseembassy.org,41
peopledaily.com.cn,39
ap.org,39
taipeitimes.com,37
bjreview.com.cn,36
chinapost.com.tw,35
dailymail.co.uk,35
taiwannews.com.tw,33
askanisenegambia.com,33
msn.com,30
trust.org,30
french.cri.cn,30
journalducameroun.com,28
en.gmw.cn,27
en.ce.cn,27
4-traders.com,27
sierraleonetimes.com,26
anhuinews.com,26
people.com.cn,25
BBC Monitoring,25
scmp.com,22
koreatimes.co.kr,22
apanews.net,21
espanol.cri.cn,21
beijingreview.com.cn,20
focac.org,20
todayonline.com,20
nigeriatoday.ng,20
thestar.com.my,19
cgtn.com,19
qz.com,19
english.cntv.cn,18
beatricedailysun.com,18
arabic.news.cn,18
beaumontenterprise.com,17
iusbpreface.com,17
globalsecurity.org,16
seattlepi.com,15
mysanantonio.com,15
greenwichtime.com,15
timesunion.com,15
nanonews.org,15
fremonttribune.com,15
bjreview.com,15
africatime.com,15
sfchronicle.com,14
ctpost.com,14
24.com.eg,14
today.ng,14
businessinsider.com,13
sfgate.com,13
huffingtonpost.com,13
straitstimes.com,13
chron.com,13
business-standard.com,13
thediplomat.com,12
wn.com,12
wcfcourier.com,12
thepublicopinion.com,12
english.cri.cn,12
africaleader.com,12
expressnews.com,12
washingtonpost.com,12
columbustelegram.com,12
capitalfm.co.ke,12
thenationonlineng.net,11
news24.com,11
chinamil.com.cn,11
womenofchina.cn,11
register-herald.com,11
sen360.com,11
orfonline.org,11
setal.net,11
maysville-online.com,11
sandiegouniontribune.com,10
channelnewsasia.com,10
muscatinejournal.com,10
infosurhoy.com,10
