"","Source Name","Mention Count"
"1","ghanaweb.com",3542
"2","modernghana.com",1681
"3","ghanavisions.com",737
"4","myjoyonline.com",686
"5","businessghana.com",641
"6","graphic.com.gh",526
"7","ghananewsagency.org",457
"8","citifmonline.com",413
"9","peacefmonline.com",355
"10","newsghana.com.gh",354
"11","pulse.com.gh",315
"12","ghanastar.com",311
"13","gbcghana.com",265
"14","ghanamma.com",225
"15","ghanaiantimes.com.gh",181
"16","yen.com.gh",135
"17","spyghana.com",81
"18","primenewsghana.com",71
"19","theheraldghana.com",64
"20","allghananews.com",60
"21","ghana.gov.gh",54
"22","businessdayghana.com",51
"23","dailyguideghana.com",46
