Source Name,Mention Count
xinhuanet.com,690
reuters.com,576
yahoo.com,414
iraqakhbar.com,381
sina.com,264
american-reporter.com,241
iraqsun.com,229
china.org.cn,226
BBC Monitoring,215
lopinion.ma,169
trust.org,160
chinadaily.com.cn,148
hellenicshippingnews.com,133
iheart.com,123
hamrinnews.net,123
dailymail.co.uk,123
wafa.ps,120
zawya.com,119
middle-east-online.com,116
channelnewsasia.com,113
asianews.it,112
ecns.cn,105
alsabaah.iq,103
almadapaper.net,94
people.com.cn,94
24.com.eg,93
fmprc.gov.cn,89
indiatimes.com,89
eremnews.com,85
akhbaar.org,84
almustaqbal.com,82
arabic.news.cn,80
msn.com,78
thestar.com.my,78
businessinsider.com,78
focus-news.net,75
newsabah.com,75
blogspot.com,74
alghad.com,73
sotaliraq.com,72
peopledaily.com.cn,72
scmp.com,71
asiaone.com,70
elaph.com,68
gulfnews.com,67
business-standard.com,67
foreignpolicy.com,65
spacewar.com,63
irna.ir,62
alqurtasnews.com,62
themalaymailonline.com,61
sputniknews.com,61
globaltimes.cn,60
gulf-times.com,60
straitstimes.com,57
swissinfo.ch,55
theherald.com.au,55
azzaman.com,53
japantimes.co.jp,52
alroeya.ae,51
wsws.org,51
tvguide.co.uk,49
nbcnews.com,49
worldbulletin.net,48
source-7.com,47
islamicinvitationturkey.com,45
washingtonpost.com,45
menafn.com,45
4-traders.com,45
en.ce.cn,45
huffingtonpost.com,44
euronews.com,44
skyscrapercity.com,43
almasalah.com,43
alqabas.com.kw,43
nationalinterest.org,42
nytimes.com,42
alquds.co.uk,42
nation.com.pk,41
wantchinatimes.com,40
arabnews.com,40
farsnews.com,39
dnaindia.com,39
irakna.com,38
newageislam.com,38
middleeaststar.com,38
iraq-businessnews.com,38
breitbart.com,37
todayonline.com,37
tribune.com.pk,37
todayszaman.com,36
kurdistan24.net,36
alghadpress.com,36
thediplomat.com,36
panarmenian.net,36
elghad.co,36
iraqinews.com,35
forbesadvocate.com.au,35
aliraqnews.com,35
dailyliberal.com.au,35
braidwoodtimes.com.au,35
freerepublic.com,35
oann.com,34
elhadas.com,34
ibtimes.com,33
cantondailyledger.com,33
