"","Source Name","Mention Count"
"1","thestar.com.my",5462
"2","themalaymailonline.com",3902
"3","malaysia-chronicle.com",3394
"4","freemalaysiatoday.com",3230
"5","malaysiakini.com",2817
"6","theborneopost.com",2420
"7","malaysiandigest.com",2394
"8","thesundaily.my",1751
"9","nst.com.my",1572
"10","bernama.com",1372
"11","malaysiasun.com",1093
"12","dailyexpress.com.my",1063
"13","themalaysianinsider.com",869
"14","malaysia-today.net",840
"15","mysinchew.com",812
"16","malaymail.com",790
"17","astroawani.com",575
"18","therakyatpost.com",470
