"","Source Name","Mention Count"
"1","hespress.com",213
"2","akhbarona.com",209
"3","cawalisse.com",179
"4","lematin.ma",162
"5","ahdath.info",136
"6","medias24.com",120
"7","maroc.ma",116
"8","moroccoworldnews.com",116
"9","marocpress.com",95
"10","northafricapost.com",94
"11","alyaoum24.com",89
"12","leseco.ma",81
"13","infomaroc.net",79
"14","leconomiste.com",77
"15","hibapress.com",74
"16","maghress.com",69
"17","aujourdhui.ma",61
"18","fr.le360.ma",58
"19","lnt.ma",51
"20","telquel.ma",49
"21","assabah.press.ma",40
