Source Name,Mention Count
lesahel.org,96
xinhuanet.com,92
china.org.cn,88
actuniger.com,51
nigerdiaspora.net,50
chinadaily.com.cn,35
nigeriasun.com,33
presidence.ne,32
sina.com,29
tamtaminfo.com,27
allafrica.com,26
en.people.cn,25
yahoo.com,20
peopledaily.com.cn,18
good4utah.com,18
fasopresse.net,16
today.ng,14
businessinsider.com,13
proactiveinvestors.co.uk,13
medias24.com,12
punchng.com,12
leadership.ng,11
ecns.cn,11
nigeriatoday.ng,11
everythinglubbock.com,10
wbap.com,10
newsradio1029.com,10
pambazuka.net,10
wfnc640am.com,10
mystateline.com,10
french.cri.cn,10
localsyr.com,10
recordnet.com,10
1050talk.com,10
people.com.cn,10
mytwintiers.com,10
wvlkam.com,10
africatime.com,10
thisdaylive.com,10
zerohedge.com,9
ozarksfirst.com,9
arklatexhomepage.com,9
texomashomepage.com,9
easttexasmatters.com,9
investmentwatchblog.com,9
businessdayonline.com,9
click2houston.com,9
siouxlandproud.com,9
yourcentralvalley.com,9
ktxs.com,9
localnews8.com,9
bigcountryhomepage.com,9
yourerie.com,9
channel4000.com,9
reuters.com,9
cnn.com,9
myhighplains.com,9
kxly.com,9
abc17news.com,9
erienewsnow.com,9
globaltimes.cn,8
ncnewspress.com,8
niyitabiti.net,8
nairaland.com,8
dailytrust.com.ng,8
srpressgazette.com,8
journalducameroun.com,8
24.com.eg,8
brics-info.org,8
chinaplus.cri.cn,8
sfgate.com,7
dailymail.co.uk,7
elnahar-news.com,7
thenewsnigeria.com.ng,7
journaldumali.com,7
mobile.lemonde.fr,7
msn.com,7
lemonde.fr,7
journaldebrazza.com,7
womenofchina.cn,6
dostor.org,6
starfl.com,6
wickedlocal.com,6
businessinsider.com.au,6
washingtonpost.com,6
weeklycitizen.com,6
sooeveningnews.com,6
shelbystar.com,6
ripplesnigeria.com,6
financialafrik.com,6
morningstar.co.uk,6
auroraadvertiser.net,6
albawabhnews.com,5
alghad.com,5
espanol.cri.cn,5
essor.ml,5
4-traders.com,5
arabic.news.cn,5
africajournalismtheworld.com,5
alufuqnews.com,5
africa-newsroom.com,5
abamako.com,5
todayonline.com,4
