"","Source Name","Mention Count"
"1","onlinenigeria.com",1368
"2","punchng.com",1237
"3","sunnewsonline.com",1159
"4","thisdaylive.com",1155
"5","thenationonlineng.net",1096
"6","leadership.ng",914
"7","today.ng",901
"8","nairaland.com",831
"9","dailytrust.com.ng",819
"10","vanguardngr.com",748
"11","premiumtimesng.com",589
"12","nigeriatoday.ng",587
"13","pulse.ng",571
"14","omojuwa.com",486
"15","nigerianeye.com",463
"16","naija247news.com",458
"17","guardian.ng",451
"18","naij.com",428
"19","dailypost.ng",412
"20","thenewsnigeria.com.ng",411
"21","businessdayonline.com",376
"22","pmnewsnigeria.com",372
"23","theeagleonline.com.ng",337
"24","tribuneonlineng.com",337
"25","peoplesdailyng.com",336
"26","nigerianpilot.com",301
"27","thecable.ng",290
"28","informationng.com",247
"29","promptnewsonline.com",234
"30","thetidenewsonline.com",231
"31","channelstv.com",223
"32","ngrguardiannews.com",200
"33","blueprint.ng",166
