Source Name,Mention Count
allafrica.com,1965
onlinenigeria.com,1368
punchng.com,1237
sunnewsonline.com,1159
thisdaylive.com,1155
thenationonlineng.net,1096
leadership.ng,914
today.ng,901
nairaland.com,831
dailytrust.com.ng,819
vanguardngr.com,748
xinhuanet.com,716
premiumtimesng.com,589
nigeriatoday.ng,587
pulse.ng,571
china.org.cn,548
omojuwa.com,486
nigerianeye.com,463
naija247news.com,458
guardian.ng,451
naij.com,428
yahoo.com,417
dailypost.ng,412
thenewsnigeria.com.ng,411
chinadaily.com.cn,405
nigeriasun.com,378
businessdayonline.com,376
pmnewsnigeria.com,372
reuters.com,368
theeagleonline.com.ng,337
tribuneonlineng.com,337
peoplesdailyng.com,336
nigerianpilot.com,301
thecable.ng,290
sina.com,277
informationng.com,247
promptnewsonline.com,234
abusidiqu.com,231
thetidenewsonline.com,231
channelstv.com,223
saharareporters.com,217
ngrguardiannews.com,200
africajournalismtheworld.com,195
ecns.cn,193
blueprint.ng,166
ynaija.com,162
olufamous.com,159
4-traders.com,158
BBC Monitoring,157
peopledaily.com.cn,156
nan.ng,147
nigerianobservernews.com,147
globalconstructionreview.com,143
newtelegraphonline.com,132
thebreakingtimes.com,130
thenews-chronicle.com,126
nationalmirroronline.net,124
independentnig.com,123
news24.com.ng,123
opinionnigeria.com,120
prensa-latina.cu,117
nationalaccordnewspaper.com,116
taiwansun.com,115
fmprc.gov.cn,114
elperiodicodemexico.com,113
nta.ng,108
dailyindependentnig.com,107
adelove.com,105
hispantv.com,105
modernghana.com,100
msn.com,99
worldstagegroup.com,98
globaltimes.cn,96
thestreetjournal.org,95
osundefender.com,94
venturesafrica.com,93
people.com.cn,92
tv360nigeria.com,90
independent.ng,88
naija.ng,85
french.cri.cn,83
gbooza.com,83
starafrica.com,82
ghanaweb.com,82
osundefender.org,81
newsghana.com.gh,81
sputniknews.com,80
businessnews.com.ng,75
blogspot.com,74
bellanaija.com,74
en.people.cn,72
en.ce.cn,70
aitonline.tv,70
rt.com,69
hellenicshippingnews.com,66
prensa.com,65
chinamil.com.cn,64
africatime.com,63
tvguide.co.uk,63
dailymail.co.uk,61
niyitabiti.net,60
espanol.cri.cn,59
africanexaminer.com,59
terra.com.ar,58
ripplesnigeria.com,58
herald.ng,56
theadvocatengr.com,56
coastweek.com,56
laprensa.hn,55
economiahoy.mx,55
360nobs.com,55
apanews.net,55
africanews.com,53
pulse.com.gh,51
skyscrapercity.com,51
china.com,50
es.rfi.fr,48
terra.com.pe,48
bizwatchnigeria.ng,48
bloomberg.com,48
terra.com,48
aninews.in,47
goal.com,47
247nigerianewsupdate.co,46
signalng.com,45
terra.com.co,45
deperu.com,45
biobiochile.cl,45
arabic.news.cn,44
indiatimes.com,44
newageislam.com,42
afkinsider.com,42
business-standard.com,42
caracol.com.co,40
wn.com,40
humanitariannews.org,39
journalducameroun.com,39
news24.com,39
expansion.mx,39
eleconomista.com.mx,39
nacion.com,39
desertherald.com,38
tvcontinental.tv,38
huhuonline.com,38
customstoday.com.pk,37
theafricareport.com,37
clarin.com,37
nigeriamasterweb.com,37
gestion.pe,37
terra.com.mx,37
nigerianewspaper.com.ng,36
oem.com.mx,36
ecofinagency.com,36
newnigerianpolitics.com,36
ireporteronline.com,36
entornointeligente.com,35
eleconomista.es,35
eleconomistaamerica.com,34
financialwatchngr.com,34
en.gmw.cn,34
hallmarknews.com,34
qz.com,34
legit.ng,33
businessinsider.com,33
cp-africa.com,33
statehouse.gov.ng,32
noticias.terra.cl,32
proceso.hn,32
noticias.terra.es,32
wantchinatimes.com,32
mynewswatchtimesng.com,32
elvocero.com,31
sfgate.com,31
government.leadership.ng,31
nairametrics.com,31
elcomercio.pe,30
breitbart.com,30
eleconomistaamerica.com.ar,30
