Source Name,Mention Count,
xinhuanet.com,667,
allafrica.com,481,
newtimes.co.rw,389,yes
chinadaily.com.cn,312,
china.org.cn,217,
rnanews.com,183,yes
ecns.cn,182,
peopledaily.com.cn,168,
globaltimes.cn,148,
sina.com,147,
ktpress.rw,121,yes
bjreview.com,120,
skyscrapercity.com,101,
agenzianova.com,97,
jschina.com.cn,85,
fmprc.gov.cn,74,
people.com.cn,74,
en.people.cn,68,
bjreview.com.cn,68,
coastweek.com,65,
espanol.cri.cn,58,
ghanaweb.com,56,
taarifa.rw,54,yes
yahoo.com,54,
koreatimes.co.kr,53,
en.gmw.cn,52,
rwandaises.com,50,yes
msn.com,49,
thenational.scot,40,
globalpost.com,40,
BBC Monitoring,40,
qz.com,39,
africanews.com,39,
lmtribune.com,36,
beijingreview.com.cn,35,
en.ce.cn,35,
ap.org,34,
newsghana.com.gh,33,
arabic.news.cn,31,
in2eastafrica.net,30,
ippmedia.com,30,tanzania
businessghana.com,30,
herald.co.zw,29,
igihe.com,28,yes
japantimes.co.jp,28,
hindustantimes.com,28,
scmp.com,28,
chinamil.com.cn,28,
exchange.co.tz,27,
focus.rw,27,
defenceweb.co.za,26,
fasopresse.net,25,
cgtn.com,25,
shanghaidaily.com,25,
ghananewsagency.org,24,
indiatimes.com,24,
africatime.com,23,
standardmedia.co.ke,22,
greatlakesvoice.com,22,
china.com,22,
shine.cn,22,
24tanzania.com,22,
mydigitalfc.com,21,
mynorthwest.com,21,
cnn.com,21,
eveningtimes.co.uk,20,
fis.com,20,
energyvoice.com,20,
premier.org.uk,20,
chronicle.gi,20,
washingtonpost.com,20,
newshub.org,20,
premierchristianradio.com,20,
monitor.co.ug,19,
indiatoday.in,18,
reuters.com,18,
cnbcafrica.com,18,
dailymail.co.uk,18,
ksby.com,18,
nation.co.ke,17,
thezimbabwedaily.com,17,
regionweek.com,17,
business-standard.com,17,
newschannel6now.com,16,
theweek.com,16,
seneweb.com,16,
4-traders.com,16,
womenofchina.cn,16,
nigeriatoday.ng,16,
globalsecurity.org,15,
africabusiness.com,15,
dnaindia.com,15,
venturesafrica.com,15,
angop.ao,14,
theprint.in,14,
pulseheadlines.com,14,
tdg.ch,14,
rwandaeye.com,14,
direct.news,14,
newsobserver.com,14,
brinkwire.com,14,
financialexpress.com,14,
miamiherald.com,14,
mailtribune.com,14,
iol.co.za,14,
straitstimes.com,14,
stamfordadvocate.com,13,
blogspot.com,13,
sputniknews.com,13,
seattletimes.com,13,
africatimes.com,13,
ktar.com,13,
wsbtv.com,13,
prensa-latina.cu,13,
india.com,13,
defence.pk,13,
kswo.com,13,
fortunascorner.com,13,
greenwichtime.com,13,
howafrica.com,12,
readingeagle.com,12,
indiatvnews.com,12,
lacrossetribune.com,12,
china-briefing.com,12,
fox30jax.com,12,
ctpost.com,12,
wsoctv.com,12,
gbtimes.com,12,
einnews.com,12,
english.cntv.cn,11,
theolympian.com,11,
eastafricamonitor.com,11,
thenewstribune.com,11,
fox23.com,11,
ktvq.com,11,
charlotteobserver.com,11,
ndtv.com,11,
domain-b.com,11,
sanluisobispo.com,11,
tribuneindia.com,11,
africaleader.com,11,
asianage.com,11,
indiagazette.com,11,
