Source Name,Mention Count
aninews.in,6544
dailymirror.lk,1454
srilankasource.com,1417
ft.lk,1357
indiatimes.com,1079
lankaweb.com,1074
yahoo.com,1044
reuters.com,1024
xinhuanet.com,1023
colombogazette.com,983
business-standard.com,959
colombopage.com,935
sundaytimes.lk,854
dailynews.lk,760
thesundayleader.lk,495
china.org.cn,473
island.lk,446
chinadaily.com.cn,436
economynext.com,436
dbsjeyaraj.com,433
sina.com,372
asiantribune.com,357
slguardian.org,341
india.com,335
adaderana.lk,322
idrw.org,319
dnaindia.com,314
thehindu.com,301
ecns.cn,294
wsws.org,279
news.lk,276
lankabusinessonline.com,275
srilankamirror.com,270
dailymail.co.uk,270
msn.com,264
menafn.com,264
indianexpress.com,260
BBC Monitoring,245
scmp.com,241
firstpost.com,230
lankanewspapers.com,228
globaltimes.cn,220
newindianexpress.com,217
hindustantimes.com,210
ndtv.com,206
asiaone.com,200
uktamilnews.com,196
gulf-times.com,193
eurasiareview.com,190
dawn.com,184
tamilguardian.com,181
trust.org,178
en.people.cn,178
newshub.org,173
hirunews.lk,172
deccanchronicle.com,172
financialexpress.com,169
channelnewsasia.com,166
slbc.lk,164
sify.com,162
peopledaily.com.cn,153
beijingbulletin.com,152
webindia123.com,149
itnnews.lk,149
fmprc.gov.cn,145
skyscrapercity.com,143
4-traders.com,139
businessinsider.com,137
thenews.com.pk,137
tribuneindia.com,137
hellenicshippingnews.com,136
asianage.com,132
en.ce.cn,132
newkerala.com,131
todayonline.com,131
outlookindia.com,130
thediplomat.com,127
people.com.cn,126
newsfirst.lk,124
thestar.com.my,124
arabnews.com,122
prokerala.com,122
defencenews.in,119
thedailystar.net,115
daijiworld.com,111
indiatvnews.com,111
nation.lk,108
globalpost.com,108
chinanationalnews.com,106
wordpress.com,106
ptinews.com,103
china.com,103
indiatoday.intoday.in,103
chinamil.com.cn,101
sfgate.com,99
deccanherald.com,98
customstoday.com.pk,95
btvi.in,95
bjreview.com,94
arabic.news.cn,93
thecitizen.in,92
moneycontrol.com,91
canindia.com,89
hindi.cri.cn,89
thestandard.com.hk,89
southeastasiapost.com,88
bignewsnetwork.com,87
nikkei.com,87
straitstimes.com,87
sundayobserver.lk,86
daily-sun.com,86
nripress.com,84
