Source Name,Mention Count,
reuters.com,66,
observer.org.sz,33,
msn.com,27,
yahoo.com,20,
channelnewsasia.com,13,
times.co.sz,13,
allafrica.com,13,
4-traders.com,10,
nytimes.com,10,
investing.com,10,
indiatimes.com,10,
swissinfo.ch,9,
tralac.org,8,
focustaiwan.tw,8,
malaymail.com,7,
scmp.com,7,
iol.co.za,7,
polity.org.za,6,
infosurhoy.com,6,
mg.co.za,6,
asahi.com,6,
africatime.com,6,
businessghana.com,6,
businessinsider.com,6,
ecns.cn,6,
naija247news.com,6,Nigeria
angop.ao,5,
news24.com,5,
beepk.com,4,
dw.com,4,
devdiscourse.com,4,
lusakatimes.com,4,
japantimes.co.jp,4,
morungexpress.com,4,
engineeringnews.co.za,4,
enca.com,4,
newshub.org,4,
business-standard.com,4,
aninews.in,4,
breitbart.com,4,
kaumudiglobal.com,4,
ad-hoc-news.de,4,
freemalaysiatoday.com,3,
globalsecurity.org,3,
alterinfo.net,3,
winnipegfreepress.com,3,
trtworld.com,3,
shanghainews.net,3,
bignewsnetwork.com,3,
chinadaily.com.cn,3,
taipeitimes.com,3,
amabhungane.co.za,3,
zimbabwestar.com,3,
proceso.hn,3,
the-star.co.ke,3,
bloomgist.com,2,
unt.se,2,
kaumudi.com,2,
dostor.org,2,
bangordailynews.com,2,
japantoday.com,2,
medafricatimes.com,2,
trust.org,2,
mb.com.ph,2,
chinanationalnews.com,2,
india.com,2,
lmtonline.com,2,
catholicculture.org,2,
aouaga.com,2,
sierraleonetimes.com,2,
france24.com,2,
oann.com,2,
beaumontenterprise.com,2,
beijingbulletin.com,2,
donga.com,2,
chosun.com,2,
africaleader.com,2,
defenceweb.co.za,2,
miningweekly.com,2,
iphonefresh.com,2,
skidmore.edu,2,
deccanherald.com,2,
ctbto.org,2,
theshillongtimes.com,2,
indianexpress.com,2,
starafrica.com,2,
heraldglobe.com,2,
unmultimedia.org,2,
corren.se,2,
sott.net,2,
dailytimes.com.pk,2,
voanews.com,2,
presstv.ir,2,
sfgate.com,2,
nikkei.com,2,
europesun.com,2,
kuriren.nu,2,
washingtonexaminer.com,2,
shanghaisun.com,2,
daily-mail.co.zm,2,
netscape.com,2,
brandeis.edu,2,
newsghana.com.gh,2,
awoko.org,2,
parisguardian.com,2,
theedgemarkets.com,2,
fijitimes.com,2,
africasustainableconservation.com,2,
za.com,2,
vt.se,2,
manaonline.gov.mw,2,
sapeople.com,2,
stlucianewsonline.com,2,
chron.com,2,
tribune.com.pk,2,
middleeaststar.com,2,
BBC Monitoring,2,
sowetanlive.co.za,2,
punchng.com,1,
herald.co.zw,1,
thenationonlineng.net,1,
howafrica.com,1,
baltimorestar.com,1,
zawya.com,1,
igihe.com,1,
en.people.cn,1,
robinspost.com,1,
dn.pt,1,
nownews.com,1,
hd.se,1,
tvi24.iol.pt,1,
alittihad.ae,1,
easternontarionetwork.com,1,
jpost.com,1,
folkbladet.se,1,
letemps.ch,1,
lalibre.be,1,
malaysiandigest.com,1,
apanews.net,1,
nationalinterest.org,1,
mmegi.bw,1,
macaubusiness.com,1,
africatimes.com,1,
newsweek.com,1,
english.cri.cn,1,
nt.se,1,
visionmp.com,1,
smp.se,1,
blt.se,1,
businesstimes.com.sg,1,
argaam.com,1,
ibn-tv.com,1,
fortunascorner.com,1,
sina.com,1,
nsd.se,1,
cctv-america.com,1,
sydostran.se,1,
rtp.pt,1,
ndtv.com,1,
diariocritico.com,1,
ltn.com.tw,1,
afriqueexpansion.com,1,
globaltimes.cn,1,
leadership.ng,1,
irishsun.com,1,
bbc.co.uk,1,
telegraph.co.uk,1,
thepropertygazette.org,1,
hani.co.kr,1,
ostrasmaland.se,1,
un.org,1,
kristianstadsbladet.se,1,
nationalreview.com,1,
abamako.com,1,
sydsvenskan.se,1,
xinhuanet.com,1,
news24.com.ng,1,
dailymaverick.co.za,1,
thestar.com.my,1,
infowars.com,1,
bt.se,1,
ystadsallehanda.se,1,
thebitcoinnews.com,1,
africageographic.com,1,
eleconomista.net,1,
sn.se,1,
noticiasaominuto.com,1,
news24.co.ke,1,
chronicle.co.zw,1,
hillaac.net,1,
bbc.com,1,
pt.se,1,
cambodiantimes.com,1,
tuoitrenews.vn,1,
indepthnews.net,1,
hurriyetdailynews.com,1,
egypttoday.com,1,
financialgazette.co.zw,1,
today.ng,1,
magseriesusa.net,1,
taiwantoday.tw,1,
uyghurcongress.org,1,
advanced-television.com,1,
