Source Name,Mention Count
yahoo.com,10067
taipeitimes.com,9453
taiwansun.com,8805
focustaiwan.tw,7845
reuters.com,7591
chinapost.com.tw,4480
eyeontaiwan.com,3398
msn.com,3144
taiwannews.com.tw,2866
scmp.com,2820
chinadaily.com.cn,2768
ap.org,2710
dailymail.co.uk,2593
ltn.com.tw,2362
xinhuanet.com,2232
channelnewsasia.com,2201
wantchinatimes.com,2186
straitstimes.com,2122
BBC Monitoring,2042
trust.org,1877
philstar.com,1766
business-standard.com,1754
china.org.cn,1712
indiatimes.com,1690
asiaone.com,1670
globalsecurity.org,1575
ecns.cn,1510
kenyastar.com,1491
thestar.com.my,1466
nikkei.com,1436
thenewslens.com,1313
swissinfo.ch,1235
businessinsider.com,1233
japantimes.co.jp,1231
todayonline.com,1107
bloomberg.com,1079
nytimes.com,1038
blogspot.com,1015
voanews.com,1005
hongkongherald.com,982
washingtonpost.com,961
asahi.com,959
fasopresse.net,943
globaltimes.cn,933
sfgate.com,918
thediplomat.com,888
manilatimes.net,875
dnaindia.com,862
iheart.com,831
themalaymailonline.com,818
4-traders.com,788
sputniknews.com,766
indianexpress.com,751
theepochtimes.com,738
mynorthwest.com,719
bangkokpost.com,707
chron.com,703
go.com,697
india.com,693
nationalinterest.org,679
firstpost.com,671
sina.com,667
tucson.com,661
people.com.cn,657
couriermail.com.au,656
peopledaily.com.cn,638
miamiherald.com,627
seattlepi.com,613
heraldsun.com.au,609
en.people.cn,608
therepublic.com,592
wral.com,590
thestandard.com.hk,589
abs-cbn.com,585
beaumontenterprise.com,583
hongkongfp.com,577
dw.com,565
france24.com,563
mysanantonio.com,560
ndtv.com,557
businesstimes.com.sg,551
startribune.com,551
theaustralian.com.au,545
nzherald.co.nz,542
lacrossetribune.com,536
digitaljournal.com,533
foxnews.com,528
siouxcityjournal.com,526
ctpost.com,518
kdhnews.com,514
worldbulletin.net,513
asianuniverse.net,512
adelaidenow.com.au,511
stltoday.com,507
missoulian.com,505
chinadigitaltimes.net,504
macaudailytimes.com.mo,499
thesundaily.my,494
asianews.network,492
chinanationalnews.com,488
cnn.com,484
greenwichtime.com,484
townhall.com,484
freemalaysiatoday.com,479
metro.us,476
thepublicopinion.com,473
ejinsight.com,469
bignewsnetwork.com,455
arabic.news.cn,451
wickedlocal.com,451
roanoke.com,444
muscatinejournal.com,443
stripes.com,442
caracol.com.co,441
euronews.com,437
cnbc.com,435
mb.com.ph,433
thejakartapost.com,431
timesunion.com,430
taiwantoday.tw,428
globalpost.com,428
theedgemarkets.com,426
inquirer.net,421
lmtonline.com,418
sunherald.com,418
financialexpress.com,417
qctimes.com,410
terra.com,407
nasdaq.com,406
beijingbulletin.com,405
terra.com.co,402
kansascity.com,401
charlotteobserver.com,400
sfchronicle.com,398
unpo.org,398
thenewstribune.com,398
terra.com.ar,397
gulfnews.com,396
wn.com,396
seattletimes.com,396
wcfcourier.com,395
mtstandard.com,391
omaha.com,389
terra.com.pe,389
kansas.com,387
beatricedailysun.com,386
macon.com,385
bbc.com,382
latimes.com,379
dailytelegraph.com.au,379
whig.com,377
shanghainews.net,377
thepeninsulaqatar.com,375
newsadvance.com,375
tribtown.com,372
foreignpolicy.com,371
malaysiandigest.com,371
houstonchronicle.com,370
breitbart.com,370
helenair.com,368
newsobserver.com,363
shanghaidaily.com,362
asianews.it,360
english.cri.cn,360
sharenet.co.za,360
entornointeligente.com,360
rfa.org,359
statesville.com,356
streetinsider.com,356
atimes.com,355
ledger-enquirer.com,354
ivpressonline.com,350
arabnews.com,349
theolympian.com,349
interaksyon.com,349
netindia123.com,348
sinodaily.com,348
wsj.com,348
fremonttribune.com,348
chinatopix.com,346
asiabulletin.com,345
terra.com.mx,343
smh.com.au,343
idahostatesman.com,343
ksby.com,339
njherald.com,337
sanluisobispo.com,337
the-japan-news.com,335
dailyjournal.net,334
newstimes.com,331
oann.com,331
gulf-times.com,330
asianage.com,330
deccanchronicle.com,330
fredericksburg.com,327
newsok.com,325
thenews.com.pk,323
nhregister.com,319
dawn.com,319
ntnews.com.au,318
thesouthern.com,318
tibet.net,318
chinamil.com.cn,318
noticias.terra.cl,317
wtop.com,316
theworldlink.com,315
news.com.au,315
noticias.terra.es,314
brecorder.com,313
ibtimes.co.uk,311
hindustantimes.com,310
netscape.com,307
newser.com,307
rapidcityjournal.com,307
news-sentinel.com,306
jschina.com.cn,303
theage.com.au,302
columbustelegram.com,300
starherald.com,298
dailyprogress.com,298
tribuneindia.com,297
ptinews.com,294
journalstar.com,293
wfmz.com,291
japantoday.com,291
dailytimes.com.pk,290
webindia123.com,290
nydailynews.com,288
theguardian.com,287
naharnet.com,284
wlox.com,283
nationalpost.com,282
aguasdigital.com,282
thehindu.com,281
pantagraph.com,280
asianewsnet.net,280
bellinghamherald.com,280
bismarcktribune.com,279
theglobeandmail.com,279
middletownpress.com,279
star-telegram.com,278
theeagle.com,278
shanghaisun.com,278
kfgo.com,278
cairnspost.com.au,276
newshub.org,276
nation.com.pk,276
bbc.co.uk,275
mysinchew.com,274
digitimes.com,274
stamfordadvocate.com,273
ktvq.com,272
theet.com,272
timescolonist.com,271
thehimalayantimes.com,271
denverpost.com,270
nownews.com,270
tri-cityherald.com,270
yonhapnews.co.kr,269
hawaiinewsnow.com,269
forbes.com,268
trib.com,265
cachevalleydaily.com,265
brisbanetimes.com.au,264
voiceofalexandria.com,263
economist.com,263
bradenton.com,262
upi.com,261
shanghaiist.com,261
sacbee.com,260
efe.com,260
bgdailynews.com,260
herald-review.com,260
wordpress.com,259
scnow.com,259
newsmax.com,259
spacewar.com,258
dailyamerican.com,258
rappler.com,257
koreatimes.co.kr,255
morganton.com,254
whbl.com,254
wacotrib.com,253
kpax.com,251
theindependent.com,250
billingsgazette.com,250
thehour.com,249
english.cntv.cn,248
presstv.com,248
fresnobee.com,247
thetandd.com,247
outlookindia.com,245
mercedsunstar.com,245
menafn.com,244
nbcnews.com,244
wbt.com,243
lycos.com,243
registercitizen.com,243
findlaw.com,242
wsws.org,239
japanherald.com,238
wboc.com,238
whtc.com,238
csmonitor.com,236
hickoryrecord.com,234
islandpacket.com,232
tribune.com.pk,232
timesofoman.com,231
heraldonline.com,230
cumberlink.com,228
thetibetpost.com,228
cnsnews.com,228
goldcoastbulletin.com.au,227
michigansthumb.com,227
ourmidland.com,226
australiannews.net,224
latribuna.hn,224
bsccomment.com,223
rt.com,223
heraldstandard.com,222
gdnonline.com,222
chicagotribune.com,222
qz.com,221
bnd.com,220
shorelinemedia.net,219
madison.com,218
huffingtonpost.com,217
greensboro.com,217
tbo.com,217
fairfieldcitizenonline.com,217
heraldcourier.com,217
wbrc.com,215
express.co.uk,214
eurasiareview.com,213
myplainview.com,212
newsweek.com,211
abc.net.au,211
pulse.ng,211
nonpareilonline.com,211
presstv.ir,210
wandtv.com,210
greenfieldreporter.com,208
today.ng,208
princegeorgecitizen.com,208
afr.com,207
singaporestar.com,207
ibtimes.com,206
proceso.hn,206
tjcnewspaper.com,205
myrtlebeachonline.com,204
m.focustaiwan.tw,203
time.com,203
thevillagessuntimes.com,201
elpasoinc.com,201
thefiscaltimes.com,200
chieftain.com,200
infotel.ca,199
lancasteronline.com,198
themonitor.com,198
thedailystar.net,197
aninews.in,197
capitalfm.co.ke,197
wnmtradio.com,196
bjreview.com,196
salon.com,196
dothaneagle.com,194
investing.com,194
wibqam.com,193
nysepost.com,193
kfbb.com,193
expressnews.com,191
kentucky.com,190
kbzk.com,189
newsdaily.com,189
poststar.com,189
wsoctv.com,187
democratherald.com,187
elperiodicodemexico.com,186
aljazeera.com,186
santamariatimes.com,185
laht.com,184
readingeagle.com,184
tdn.com,182
winonadailynews.com,182
contacto-latino.com,182
koreaherald.com,182
680news.com,182
news18.com,182
ctvnews.ca,181
news24.com,181
mychamplainvalley.com,180
1310news.com,180
chippewa.com,179
ktar.com,178
independent.co.uk,177
yibada.com,176
tagesanzeiger.ch,176
beloitdailynews.com,176
maysville-online.com,176
sott.net,176
dailystar.com.lb,176
quadrangleonline.com,176
news12.com,176
news957.com,175
perthnow.com.au,175
investmentunderground.com,175
kswo.com,175
thegardenisland.com,175
gmanetwork.com,174
forimmediaterelease.net,174
jakartaglobe.id,173
hispantv.com,173
azdailysun.com,173
sandiegouniontribune.com,172
theborneopost.com,172
bostonglobe.com,171
magicvalley.com,171
newsbug.info,171
kxlf.com,170
telegraph.co.uk,170
gazette.com,170
journalducameroun.com,170
gulftoday.ae,170
bostonherald.com,169
chosun.com,168
pixnet.net,168
sbs.com.au,168
570news.com,167
dailyastorian.com,166
businessinsider.in,166
kxxv.com,165
eastday.com,165
thefrontierpost.com,165
uol.com.br,165
bloombergquint.com,164
kdal610.com,164
bjreview.com.cn,163
freerepublic.com,163
newsday.com,163
nationmultimedia.com,163
themercury.com.au,162
gantdaily.com,162
wbtw.com,161
morungexpress.com,161
devdiscourse.com,161
abc.com.py,161
china.com,161
lethbridgeherald.com,160
canberratimes.com.au,160
arkansasonline.com,159
washingtonexaminer.com,159
deccanherald.com,159
journaltimes.com,159
iol.co.za,158
en.ce.cn,158
newzealandstar.com,157
mrt.com,157
zerohedge.com,157
republika.co.id,157
donga.com,157
businessinsider.com.au,156
en.rfi.fr,156
romandie.com,156
independent.ie,156
kten.com,154
bilbaoya.com,154
wect.com,153
intellasia.net,153
tampabay.com,152
marketwatch.com,152
hjnews.com,152
lompocrecord.com,151
watoday.com.au,151
saudigazette.com.sa,151
btvi.in,150
senegal-actu.com,150
mcclatchydc.com,150
wftv.com,149
mynews13.com,148
womenofchina.cn,148
nwitimes.com,147
montrealgazette.com,147
oleantimesherald.com,146
federalnewsradio.com,146
malaysiakini.com,145
localnews8.com,145
ghanaweb.com,145
dailyjournalonline.com,145
medicinehatnews.com,145
laprensa.hn,144
aa.com.tr,144
ketagalanmedia.com,144
newsradioklbj.com,144
borneobulletin.com.bn,143
wnd.com,143
wradio.com.co,142
philly.com,142
elpais.cr,142
9and10news.com,142
thestandard.com.ph,142
daytondailynews.com,141
the-messenger.com,141
wwntradio.com,140
kvia.com,140
irishtimes.com,139
cfr.org,139
elkodaily.com,139
kvoa.com,139
kiiitv.com,139
bradfordera.com,139
elghad.co,139
aei.org,138
elnuevodiario.com.do,138
12newsnow.com,138
townsvillebulletin.com.au,138
gazettetimes.com,137
cnnphilippines.com,136
chineseembassy.org,136
mytwintiers.com,136
macaubusiness.com,136
bdnews24.com,136
ktvz.com,135
newdelhitimes.com,135
malaymail.com,135
heraldextra.com,135
freebeacon.com,134
wsbradio.com,134
sify.com,134
jamestown.org,134
bdtonline.com,133
huewire.com,133
irna.ir,133
bruneinews.net,133
prokerala.com,133
kdwn.com,133
customstoday.com.pk,132
newbloommag.net,132
timesdaily.com,131
valleymorningstar.com,131
napavalleyregister.com,131
voacambodia.com,131
kpvi.com,131
elmundo.sv,130
dailypioneer.com,130
kiro7.com,130
vancouversun.com,130
wbal.com,129
wjhl.com,129
skyscrapercity.com,129
mvariety.com,129
