Source Name,Mention Count
news.tj,622
afghanistansun.com,470
khovar.tj,433
BBC Monitoring,428
xinhuanet.com,261
china.org.cn,197
avesta.tj,180
akipress.com,179
centralasiatimes.com,177
ecns.cn,146
skyscrapercity.com,134
chinadaily.com.cn,128
sina.com,124
asiaplus.tj,121
brecorder.com,98
bjreview.com,91
thenews.com.pk,86
ca-news.org,84
strategypage.com,84
fmprc.gov.cn,76
globaltimes.cn,70
people.com.cn,68
eurasianet.org,67
chinamil.com.cn,64
timesca.com,64
en.people.cn,63
pakobserver.net,61
beijingbulletin.com,60
nation.com.pk,58
indiatimes.com,58
sputniknews.com,57
dawn.com,56
thediplomat.com,55
bjreview.com.cn,55
business-standard.com,53
en.ce.cn,52
gulfnews.com,49
peopledaily.com.cn,49
thefrontierpost.com,49
farsnews.com,47
msn.com,46
stanradar.com,45
russian.news.cn,42
azernews.az,41
azerbaijannews.net,41
uniindia.com,41
bloomberg.com,38
yahoo.com,37
rferl.org,36
kabar.kg,34
uza.uz,32
fergananews.com,32
ddinews.gov.in,32
reuters.com,30
ariananews.af,30
infosurhoy.com,29
arabic.news.cn,29
asianage.com,28
en.gmw.cn,27
dailytimes.com.pk,26
blogspot.com,26
4-traders.com,26
menafn.com,26
english.cntv.cn,25
ptinews.com,25
silkroadreporters.com,25
asiabulletin.com,25
chinanationalnews.com,24
outlookindia.com,23
scmp.com,23
today.az,23
wn.com,23
indianexpress.com,22
en.trend.az,22
shanghaisun.com,21
thestatesman.com,21
regnum.ru,20
valuewalk.com,20
kbs.co.kr,20
hindustantimes.com,20
gbtimes.com,20
firstpost.com,19
crisisgroup.org,19
beijingreview.com.cn,18
larouchepub.com,18
howestreet.com,18
thestandard.com.hk,18
irna.ir,18
eurasiareview.com,18
tribune.com.pk,18
dnd.com.pk,18
french.cri.cn,17
jschina.com.cn,17
india.com,17
shanghainews.net,17
outlookafghanistan.net,17
afghanistannews.net,17
vestnikkavkaza.net,17
dailypioneer.com,16
eastasiaforum.org,16
manilatimes.net,16
presstv.ir,16
uzdaily.com,16
pakistantoday.com.pk,16
dailythepatriot.com,15
dnaindia.com,15
haber8.com,15
pakistankakhudahafiz.com,14
sify.com,14
hindi.cri.cn,14
samaa.tv,14
financialexpress.com,14
globalsecurity.org,13
cacianalyst.org,13
english.cri.cn,13
webindia123.com,13
womenofchina.cn,13
idrw.org,13
indepthnews.net,13
zonakz.net,12
securityassistance.org,12
newkerala.com,12
dailypakistan.com.pk,12
dunyanews.tv,12
arynews.tv,12
dailymessenger.com.pk,12
ria.ru,12
newshub.org,12
bernama.com,11
eng.24.kg,11
elfagr.org,11
tolonews.com,11
sott.net,11
inform.kz,11
shanghaidaily.com,11
arabic.cntv.cn,11
arabic.cri.cn,11
fr.cntv.cn,11
deccanchronicle.com,11
catoday.org,11
hongkongherald.com,11
stratfor.com,11
indiatvnews.com,11
lowyinstitute.org,10
bignewsnetwork.com,10
ndtv.com,10
aaj.tv,10
anhuinews.com,10
thekooza.com,10
businessinsider.com,10
financialtribune.com,10
ozodi.org,10
nzcity.co.nz,10
globalpost.com,10
refworld.org,10
australiannews.net,10
tacstrat.com,9
afghanistan.ru,9
aninews.in,9
moneycontrol.com,9
pakistantelegraph.com,9
thehindu.com,9
russian.cri.cn,9
app.com.pk,8
dhakatribune.com,8
gulf-times.com,8
deccanherald.com,8
realcleardefense.com,8
panarmenian.net,8
worldtribunepakistan.com,8
urdupoint.com,8
ru.apa.az,8
chathamhouse.org,8
schema-root.org,8
nikkei.com,8
ad-hoc-news.de,8
ng.ru,8
presstv.com,8
eng.belta.by,8
newsindiatimes.com,8
wto.org,8
hellenicshippingnews.com,7
pravdareport.com,7
indiatoday.in,7
channelnewsasia.com,7
italian.cri.cn,7
izvestia.ru,7
russiaherald.com,7
bbc.com,7
netindia123.com,7
trend.az,7
chinatraveltips.net,7
defence.pk,7
bbc.co.uk,7
freenewspos.com,7
