Source Name,Mention Count,
allafrica.com,888,
tanzaniatoday.co.tz,644,
dailynews.co.tz,557,
xinhuanet.com,555,
china.org.cn,271,
chinadaily.com.cn,225,
sina.com,165,
reuters.com,150,
ecns.cn,134,
24tanzania.com,126,
bloomberg.com,114,
politicsweb.co.za,108,
globaltimes.cn,101,
globalconstructionreview.com,100,
ibn-tv.com,90,
yahoo.com,85,
standardmedia.co.ke,83,
coastweek.com,81,
en.people.cn,80,
tanzanianewsreports.com,80,
bjreview.com,79,
ippmedia.com,73,
BBC Monitoring,68,
defenceweb.co.za,63,
chinamil.com.cn,58,
en.ce.cn,54,
peopledaily.com.cn,51,
thecitizen.co.tz,50,
4-traders.com,50,
trust.org,49,
skyscrapercity.com,44,
africatime.com,44,
people.com.cn,43,
hellenicshippingnews.com,41,
asokoinsight.com,40,
en.gmw.cn,39,
in2eastafrica.net,39,
jschina.com.cn,39,
dailymail.co.uk,38,
engineeringnews.co.za,35,
dnaindia.com,33,
bjreview.com.cn,32,
fmprc.gov.cn,32,
shanghaidaily.com,32,
exchange.co.tz,31,TZ and KE
china.com,31,
iol.co.za,30,
businesstimes.co.tz,29,Nope
southerntimesafrica.com,28,
herald.co.zw,26,
cp-africa.com,26,
the-star.co.ke,25,
miningweekly.com,25,
mgafrica.com,25,
africajournalismtheworld.com,24,
ap.org,24,
scmp.com,23,
today.ng,23,
english.cntv.cn,22,
news24.com,22,
infosurhoy.com,22,
proactiveinvestors.co.uk,22,
channelnewsasia.com,21,
alghad.com,21,
blogspot.com,21,
espanol.cri.cn,21,
wftv.com,20,
thepublicopinion.com,20,
gbooza.com,20,
wickedlocal.com,20,
theepochtimes.com,20,
ghanaweb.com,20,
focac.org,19,
worldcoal.com,19,
couriermail.com.au,19,
defence.pk,19,
albawabhnews.com,19,
euronews.com,19,
brinkwire.com,19,
freshplaza.com,19,
bdlive.co.za,18,
busiweek.com,18,
monitor.co.ug,18,
appeal-democrat.com,17,
breitbart.com,17,
fusion.net,16,
french.cri.cn,16,
ivpressonline.com,16,
businessdailyafrica.com,16,
