Source Name,Mention Count,
reuters.com,334,
centralasiatimes.com,236,
turkmenistan.gov.tm,221,
chinanationalnews.com,179,
en.trend.az,173,
BBC Monitoring,163,
azernews.az,144,
today.az,117,
uniindia.com,108,
beijingbulletin.com,103,
dawn.com,96,
tacstrat.com,82,
baptistmessenger.com,80,
dunyanews.tv,80,
msn.com,75,
ca-news.org,74,
yahoo.com,69,
xinhuanet.com,65,
azerbaijannews.net,62,
russiaherald.com,58,
algemeiner.com,56,
trust.org,56,
afghanistansun.com,56,
shanghaisun.com,53,
bignewsnetwork.com,51,
stanradar.com,50,
akipress.com,50,
china.org.cn,50,
southeastasiapost.com,49,
thediplomat.com,49,
pakistantelegraph.com,49,
afghanistannews.net,49,
europesun.com,49,
rferl.org,48,
kenyastar.com,46,
voanews.com,44,
khybernews.tv,43,
nytimes.com,42,
iraqsun.com,42,
aljazeera.com,42,
trtworld.com,41,
menafn.com,41,
arabherald.com,40,
thestar.com.my,40,
yenisafak.com,40,
voiceofvienna.org,40,
turkmenistan.ru,36,
eurasianet.org,33,
chinadaily.com.cn,32,
thenews.com.pk,31,
tdh.gov.tm,31,heres one
themoscowtimes.com,30,
naturalgaseurope.com,28,
eurasiareview.com,24,
chrono-tm.org,23,Seems like it is a Human Rights group in Turkmenistan
trend.az,21,
fmprc.gov.cn,20,
ecns.cn,20,
skyscrapercity.com,19,
naturalgasworld.com,19,
ibtimes.co.uk,18,
hellenicshippingnews.com,17,
4-traders.com,17,
rp.pl,17,
lidtime.com,16,
indiatimes.com,16,
finanse.wp.pl,16,
innercitypress.com,16,
timesca.com,15,
refworld.org,14,
pakobserver.net,13,
peopledaily.com.cn,13,
regnum.ru,13,
farsnews.com,13,
stratfor.com,13,
business-standard.com,13,
globalpost.com,13,
globaltimes.cn,13,
en.gmw.cn,12,
tribuneindia.com,12,
valuewalk.com,12,
asiabulletin.com,12,
pakistantoday.com.pk,12,
arabic.cri.cn,12,
dailymail.co.uk,12,
interfaxenergy.com,12,
economist.com,12,
sina.com,12,
globalsecurity.org,11,
tribune.com.pk,11,
dailytimes.com.pk,11,
afghanistantimes.af,11,
belgazeta.by,10,
neurope.eu,10,
kabar.kg,10,
middleeaststar.com,10,
shanghainews.net,10,
jschina.com.cn,9,
laosnews.net,9,
catoday.org,9,
iranherald.com,9,
chinamil.com.cn,9,
haberler.com,9,
nepalnational.com,9,
silkroadreporters.com,9,
arabic.news.cn,9,
neftegaz.ru,9,
nation.com.pk,9,
vestikavkaza.ru,9,
turkmeninform.com,8,
biznes.onet.pl,8,
worldbulletin.net,8,
ilgazzettino.it,8,
russia-direct.org,8,
wiadomosci.onet.pl,8,
nettg.pl,8,
jamestown.org,8,
peakoil.com,8,
ng.ru,8,
bankier.pl,8,
ekonomia.rp.pl,7,
blogspot.com,7,
english.cntv.cn,7,
cacianalyst.org,7,
scmp.com,7,
china.com,7,
bruneinews.net,7,
financialexpress.com,7,
sify.com,7,
azattyk.org,7,
tol.org,7,
bjreview.com.cn,6,
sott.net,6,
heraldglobe.com,6,
dailysabah.com,6,
brecorder.com,6,
news.tj,6,
austinglobe.com,6,
samanyoluhaber.com,6,
hpuy.com,6,
akipress.org,6,
adventurouskate.com,6,
aktifhaber.com,6,
moneyweek.com,6,
qianlong.com,6,
haqqin.az,6,
myanmarnews.net,6,
rosinvest.com,6,
newageislam.com,6,
oilprice.com,6,
vietnamtribune.com,6,
australiannews.net,6,
vestnikkavkaza.net,6,
elazighaberi.com,6,
nikkei.com,6,
sureklihaber.com,6,
fergananews.com,6,
sputniknews.com,6,
icct.edu.ph,6,
malaysiasun.com,6,
customstoday.com.pk,6,
euronews.com,6,
habertuar.com,6,
caspianexplorer.com,6,
india.com,5,
taiwansun.com,5,
cnbc.com,5,
forimmediaterelease.net,5,
kitco.com,5,
cctv.com,5,
worldtribunepakistan.com,5,
russian.news.cn,5,
hurriyetdailynews.com,5,
aa.com.tr,5,
eurasiatimes.org,5,
24chasa.bg,5,
astanatimes.com,5,
espanol.cri.cn,5,
wikipedia.org,4,
krsk.sibnovosti.ru,4,
tolonews.com,4,
agi.it,4,
eng.24.kg,4,
oracleunion.com,4,
newscentralasia.net,4,
eer.ru,4,
news.az,4,
habervitrini.com,4,
rg.ru,4,
firstpost.com,4,
teknoblog.ru,4,
carnegie.ru,4,
cntv.ru,4,
news.tut.by,4,
arabic.cntv.cn,4,
theweatherspace.com,4,
crudeaccountability.org,4,
efe.com,4,
analisidifesa.it,4,
dv.kp.ru,4,
geo.tv,4,
turkiyegazetesi.com.tr,4,
korrespondent.net,4,
kazanfirst.ru,4,
swarajyamag.com,4,
forbes.kz,4,
dnaindia.com,4,
cihan.com.tr,4,
greanvillepost.com,4,
ilmessaggero.it,4,
thefrontierpost.com,4,
payvand.com,4,
mansetoku.com.tr,4,
island.lk,4,
wirelessgoodness.com,4,
thehindu.com,4,
turkishweekly.net,4,
irdiplomacy.ir,4,
en.ce.cn,4,
strategic-culture.org,4,
hydrocarbons-technology.com,4,
rantonuk.org.uk,4,
zerohedge.com,4,
al-monitor.com,4,
newsfultoncounty.com,4,
nationalinterest.org,4,
people.com.cn,4,
neweasterneurope.eu,3,
upstreamonline.com,3,
larouchepub.com,3,
eadaily.com,3,
vestifinance.ru,3,
theenergycollective.com,3,
expert.ru,3,
focus-news.net,3,
dw.com,3,
caspianbarrel.org,3,
tvnewsroom.org,3,
alalam.ir,3,
newkerala.com,3,
ghanaweb.com,3,
revolutionradio.org,3,
platts.com,3,
kpsscafe.com.tr,3,
aninews.in,3,
caixinglobal.com,3,
takvim.com.tr,3,
albayan.ae,3,
pravda.ru,3,
dailytimesgazette.com,3,
economiccalendar.com,3,
eastday.com,3,
indianexpress.com,3,
ap.org,3,
wordpress.com,3,
riasv.ru,3,
irna.ir,3,
nvdaily.ru,3,
hongkongherald.com,3,
dumsk.com,3,
fortunascorner.com,3,
aajtak.intoday.in,3,
russian.cri.cn,3,
pajhwok.com,3,
wanderlust.co.uk,3,
islamicinvitationturkey.com,3,
newzealandstar.com,3,
bjreview.com,3,
iraqakhbar.com,3,
rfa.org,3,
crisisgroup.org,3,
outlookafghanistan.net,3,
arynews.tv,3,
cantondailyledger.com,3,
zn.ua,3,
independent.ng,3,
independent.ie,3,
thefridaytimes.com,2,
ensec.org,2,
habartm.org,2,
todayszaman.com,2,
etraf.com.tr,2,
fairobserver.com,2,
eastasiaforum.org,2,
uaenergy.com.ua,2,
elfagr.org,2,
news.online.ua,2,
bloombergquint.com,2,
dunyabulteni.net,2,
argusleader.com,2,
vetogate.com,2,
webindia123.com,2,
energy-pedia.com,2,
greatindiannews.com,2,
hotair.com,2,
tridindia.com,2,
cabar.asia,2,
shorouknews.com,2,
outlookindia.com,2,
archdaily.com,2,
