Source Name,Mention Count,
gulfnews.com,1028,
zawya.com,877,
wam.ae,590,
xinhuanet.com,574,
menafn.com,433,Jordan
thenational.ae,407,
khaleejtimes.com,344,
arabianbusiness.com,336,
chinadaily.com.cn,335,
tradearabia.com,327,Cross MENA and UK
reuters.com,316,
china.org.cn,314,
yahoo.com,312,
albayan.ae,275,
emirates247.com,258,
dubaicityguide.com,246,
alittihad.ae,221,
gdnonline.com,200,Bahrain
people.com.cn,190,
4-traders.com,181,
abudhabicityguide.com,175,
sina.com,175,
hellenicshippingnews.com,170,
uaeinteract.com,163,
ecns.cn,162,
business-standard.com,153,
cpifinancial.net,142,
albawaba.com,136,Headquarter in Jordan but office in UAE and UK
alkhaleej.ae,122,
skyscrapercity.com,119,Canada
arabic.news.cn,114,
peopledaily.com.cn,112,
msn.com,103,
gulftoday.ae,98,
chinanationalnews.com,97,
arabnews.com,91,Saudi
dawn.com,88,Pakistani
middleeaststar.com,87,Australia
thenews.com.pk,83,
china.com,80,
beijingbulletin.com,78,
gulfbusiness.com,77,
en.ce.cn,77,
emaratalyoum.com,76,
hoteliermiddleeast.com,74,"Dubai, London, India"
constructionweekonline.com,73,
btvi.in,72,
middleeastevents.com,71,
dailymail.co.uk,68,
jschina.com.cn,65,
en.gmw.cn,60,
scmp.com,60,
en.people.cn,59,
indiatimes.com,59,
globaltimes.cn,59,
allafrica.com,59,
asiabulletin.com,58,
arabherald.com,54,
araanews.ae,54,
marketwatch.com,53,
einnews.com,53,
vietnamtribune.com,51,
mid-day.com,50,
bloomberg.com,50,
shanghaisun.com,48,
thefrontierpost.com,47,
24.com.eg,47,
pakobserver.net,46,
alufuqnews.com,44,
businessinsider.com,44,
shanghaidaily.com,42,
shine.cn,41,
tribune.com.pk,41,
channelnewsasia.com,40,
shanghainews.net,40,
dfnionline.com,40,
thenationonlineng.net,38,
eremnews.com,38,
BBC Monitoring,38,
diarioinformacion.com,38,
businesswire.com,37,
freshplaza.com,37,
pr-inside.com,36,
japantimes.co.jp,36,
dailymailnews.com,36,
saudigazette.com.sa,36,
india.com,35,
alroeya.ae,35,
bi-me.com,35,
dunyanews.tv,34,
wam.org.ae,34,
customstoday.com.pk,33,
theborneopost.com,33,
traveldailymedia.com,33,
bjreview.com,33,
fmprc.gov.cn,33,
singaporestar.com,33,
arabiansupplychain.com,33,
phys.org,32,
indiagazette.com,32,
middle-east-online.com,31,
onlinenigeria.com,31,
ameinfo.com,31,
mfs-theothernews.com,31,
cpc.gov.ae,30,
themalaymailonline.com,30,
wantchinatimes.com,30,
siasat.com,30,
ap.org,30,
hamrinnews.net,29,
newsx.com,29,
nation.com.pk,29,
dostor.org,29,
dailytimes.com.pk,29,
washingtonpost.com,28,
argaam.com,28,
newyorkstatesman.com,28,
france24.com,27,
iol.co.za,27,
thediplomatmagazine.com,27,
thedailystar.net,27,
businesstimes.com.sg,27,
mofa.gov.ae,27,
whatson.ae,27,
elaph.com,27,
globenewswire.com,26,
cnbc.com,26,
