Source Name,Mention Count,
BBC Monitoring,1085,
xinhuanet.com,757,
china.org.cn,554,
uza.uz,537,
chinadaily.com.cn,368,
uzdaily.com,350,
business-standard.com,321,
sina.com,296,
ecns.cn,270,
en.trend.az,269,
bjreview.com,260,
yahoo.com,255,
globaltimes.cn,232,
shanghaisun.com,189,
en.people.cn,184,
aninews.in,171,
bloomberg.com,168,
fmprc.gov.cn,166,
azerbaijannews.net,166,
akipress.com,165,
peopledaily.com.cn,163,
bjreview.com.cn,162,
skyscrapercity.com,150,
kabar.kg,147,
newsnow.in,140,
en.ce.cn,138,
msn.com,137,
indiatimes.com,134,
reuters.com,130,
sify.com,130,
chinamil.com.cn,129,
azernews.az,124,
astanatimes.com,122,
cctv.com,115,
people.com.cn,115,
india.com,114,
today.az,113,
centralasiatimes.com,112,Australia
ca-news.org,109,
jahonnews.uz,108,
chinanationalnews.com,105,
4-traders.com,102,
newshub.org,102,
en.gmw.cn,100,
shanghainews.net,99,
english.cri.cn,97,
indianexpress.com,89,
hindustantimes.com,87,
inform.kz,80,
beijingbulletin.com,76,
sputniknews.com,75,
webindia123.com,71,
news.tj,71,
adb.org,70,
russian.news.cn,69,
dnaindia.com,69,
uzbekembassy.in,69,
newkerala.com,67,
rferl.org,67,
thehindu.com,65,
fergananews.com,61,
netindian.in,61,
financialexpress.com,59,
eurasiareview.com,58,
ptinews.com,57,
siasat.com,56,
jamestown.org,56,
asiabulletin.com,55,
scmp.com,55,
prokerala.com,55,
indiagazette.com,54,
outlookindia.com,53,
espanol.cri.cn,53,
timesca.com,53,
yeniazerbaycan.com,52,
businessworld.in,51,
arabic.news.cn,51,
thediplomat.com,48,
asiaplus.tj,48,
dunyabulteni.net,48,
tribuneindia.com,48,
ndtv.com,48,
laht.com,48,
silkroadreporters.com,47,
stanradar.com,46,
deccanchronicle.com,46,
firstpost.com,45,
jschina.com.cn,44,
idrw.org,44,
thebusinesscourier.co.uk,43,
afghanistannews.net,42,
brecorder.com,41,
dnd.com.pk,41,
ap.org,41,
khovar.tj,41,
blogspot.com,40,
kforcegov.com,40,
newsghana.com.gh,40,
domain-b.com,39,
ddinews.gov.in,38,
farsnews.com,37,
netindia123.com,37,
pv.uz,36,
shanghaidaily.com,36,
livemint.com,36,
ummid.com,36,
narodnoeslovo.uz,35,
trend.az,35,
trust.org,34,
indiablooms.com,34,
bsccomment.com,34,
rediff.com,34,
canindia.com,34,
nripress.com,34,
freepressjournal.in,34,
kazakh-tv.kz,33,
indiatvnews.com,33,
arabherald.com,32,
iraqsun.com,32,
uzdaily.uz,32,
indiatoday.in,31,
biharprabha.com,30,
turkmenistan.ru,30,
dailymail.co.uk,30,
haberler.com,30,
irna.ir,30,
georgiatoday.ge,30,
bilbaoya.com,29,
menafn.com,28,
worldbank.org,28,
china.com,28,
arabic.cri.cn,28,
english.cntv.cn,27,
eurasianet.org,27,
regnum.ru,27,
app.com.pk,27,
azertag.az,27,
ibn7.com,27,
rbth.com,26,
oneindia.com,26,
qz.com,26,
gazeta-pravda.ru,25,
arabnews.com,25,
businessinsider.com,25,
