Source Name,Mention Count
bulawayo24.com,2113
herald.co.zw,1265
thezimbabwemail.com,923
thezimbabwedaily.com,913
chronicle.co.zw,614
newsday.co.zw,369
theindependent.co.zw,292
dailynews.co.zw,285
sundaymail.co.zw,273
newzimbabwe.com,241
zimeye.net,238
zbc.co.zw,233
zimbabwestar.com,179
thezimbabwean.co,146
financialgazette.co.zw,145
zimdaily.com,143
thezimbabwenewslive.com,141
thestandard.co.zw,129
times.co.zm,122
insiderzim.com,120
myzimbabwe.co.zw,114
sundaynews.co.zw,97
zimbabwe-today.com,93
