Source Name,Mention Count,,
bulawayo24.com,2113,,
allafrica.com,1499,,
herald.co.zw,1265,,
thezimbabwemail.com,923,,
thezimbabwedaily.com,913,,
xinhuanet.com,843,,
chronicle.co.zw,614,,
zimbabwesituation.com,497,,Greater London https://www.zoominfo.com/c/zimbabwe-situation/350908038
china.org.cn,454,,
chinadaily.com.cn,437,,
newsday.co.zw,369,,
nehandaradio.com,299,,
theindependent.co.zw,292,,
dailynews.co.zw,285,,
sundaymail.co.zw,273,,
newsdzezimbabwe.co.uk,267,,
onlinenigeria.com,248,,
yahoo.com,246,,
newzimbabwe.com,241,,
zimeye.net,238,,
reuters.com,234,,
zbc.co.zw,233,,
africajournalismtheworld.com,230,,
ecns.cn,186,,
zimbabwestar.com,179,,
iol.co.za,158,,
msn.com,155,,
thezimbabwean.co,146,,
financialgazette.co.zw,145,,
news24.com,144,,
zimdaily.com,143,,
thezimbabwenewslive.com,141,,
globaltimes.cn,133,,
coastweek.com,132,,
blogspot.com,129,,
thestandard.co.zw,129,,
times.co.zm,122,,
insiderzim.com,120,,
sina.com,118,,
en.people.cn,117,,
myzimbabwe.co.zw,114,,
english.cntv.cn,111,,
en.ce.cn,106,,
sundaynews.co.zw,97,,
zimbabwe-today.com,93,,
BBC Monitoring,80,,
voazimbabwe.com,80,,
ameripublications.com,74,,
dailymail.co.uk,74,,
peopledaily.com.cn,71,,
fmprc.gov.cn,69,,
jschina.com.cn,67,,
people.com.cn,65,,
4-traders.com,65,,
koreatimes.co.kr,65,,
wn.com,61,,
dailytimes.com.pk,61,,
modernghana.com,60,,
english.cri.cn,56,,
fr.cntv.cn,55,,
scmp.com,54,,
citizen.co.za,52,,
french.cri.cn,49,,
radiovop.com,47,,
channelnewsasia.com,46,,
thediplomat.com,46,,
zimeye.com,46,,
apanews.net,45,,
globalpost.com,45,,
businessinsider.com,45,,
theepochtimes.com,44,,
salisburypost.com,44,,
time.mk,43,,
slinkingtowardretirement.com,42,,
indiatimes.com,42,,
standardmedia.co.ke,41,,
theguardian.com,41,,
tjcnewspaper.com,41,,
chinamil.com.cn,40,,
mychamplainvalley.com,40,,
theafricareport.com,39,,
womenofchina.cn,39,,
ghanaweb.com,38,,
today.ng,37,,
enca.com,37,,
pazimbabwe.com,36,,
cnn.com,36,,
smh.com.au,36,,
timeslive.co.za,35,,
pindula.co.zw,34,,
washingtonpost.com,34,,
polity.org.za,33,,
africatime.com,33,,
ewn.co.za,32,,
wwntradio.com,32,,
customstoday.com.pk,31,,
bbc.com,31,,
equities.com,31,,
aa.com.tr,30,,
digitaljournal.com,30,,
investmentunderground.com,30,,
masasieharare.com,29,,
qz.com,29,,
theaustralian.com.au,29,,
pulse.ng,29,,
ap.org,29,,
prensa-latina.cu,28,,
thestandard.com.hk,28,,
thetimes.co.uk,28,,
worldbank.org,28,,
fin24.com,28,,
zwnews.com,27,,
asokoinsight.com,27,,
china.com,27,,
starafrica.com,27,,
nysepost.com,27,,
arabic.news.cn,27,,
jewocity.com,26,,
lusakatimes.com,26,,
zimnews.net,26,,
cctv-africa.com,26,,
iusbpreface.com,25,,
foreignpolicy.com,25,,
shanghaidaily.com,25,,
sfgate.com,25,,
salisburyjournal.co.uk,25,,
bizcommunity.com,24,,
afkinsider.com,24,,
billsinsider.com,24,,
trust.org,23,,
seatingchair.com,23,,
mg.co.za,23,,
mgafrica.com,23,,
menafn.com,23,,
business-standard.com,23,,
arabic.cntv.cn,23,,
nzherald.co.nz,23,,
humanitariannews.org,22,,
angop.ao,22,,
sputniknews.com,22,,
globalsecurity.org,22,,
techzim.co.zw,22,,
publimetro.cl,22,,
defenceweb.co.za,22,,
jamaicaobserver.com,22,,
couriermail.com.au,22,,
abc17news.com,22,,
anhuinews.com,22,,
nation.co.ke,21,,
bsccomment.com,21,,
france24.com,21,,
wsoctv.com,21,,
lidtime.com,21,,
guardian.ng,21,,
