Country,Code,Chinese Tone,Local Tone,Western Tone,Chinese-Western,Chinese-Local,Western-Local,Ratio
Afghanistan,AFG,1.717603165,1.212077641,-2.961984568,4.679587734,0.505525525,-4.174062209,0.121111162
Angola,AGO,1.847493388,1.525932569,-4.501568586,6.349061974,0.321560819,-6.027501155,0.053348944
Armenia,ARM,3.525624257,1.357976862,-9.928230818,13.45385507,2.167647396,-11.28620768,0.192061626
Botswana,BWA,3.056734589,0.474871233,-2.723189186,5.779923774,2.581863355,-3.198060419,0.807321631
Brunei Darussalam,BRN,-0.26182115,1.412291183,-2.246515394,1.984694244,-1.674112333,-3.658806577,0.457556938
Burundi,BDI,2.62830315,1.527164583,-2.128086128,4.756389278,1.101138567,-3.655250711,0.301248438
Cambodia,KHM,2.8994576,0.22022611,-2.824099925,5.723557525,2.679231491,-3.044326035,0.88007377
Cameroon,CMR,2.32138684,0.49063705,-1.478562491,3.799949331,1.83074979,-1.969199541,0.929692371
Djibouti,DJI,2.439331796,0.520297279,-1.204322641,3.643654437,1.919034517,-1.72461992,1.112728952
Ethiopia,ETH,2.726303279,1.238875663,-1.789647282,4.515950561,1.487427616,-3.028522945,0.491139623
Georgia,GEO,3.213121681,2.320986911,0.200461951,3.01265973,0.892134769,-2.120524961,0.420714109
Ghana,GHA,3.15615908,-0.223114695,-1.923993827,5.080152907,3.379273775,-1.700879132,1.986780666
India,IND,0.64632807,-1.005443128,-1.360965311,2.007293381,1.651771198,-0.355522183,4.646042577
Indonesia,IDN,1.88545818,-0.701218872,-2.43295691,4.31841509,2.586677052,-1.731738038,1.493688419
Iran,IRN,-0.139970757,-0.534827571,-2.394320239,2.254349482,0.394856814,-1.859492668,0.212346529
Kazakhstan,KAZ,2.79526777,1.557626598,-1.621518075,4.416785846,1.237641172,-3.179144673,0.389300048
Kenya,KEN,2.241715378,-0.399193372,-3.435676356,5.677391734,2.64090875,-3.036482984,0.869726181
Madagascar,MDG,2.040972667,0.793122561,-2.146973747,4.187946414,1.247850107,-2.940096308,0.424424909
Malawi,MWI,2.642738261,1.063995611,-0.880353531,3.523091791,1.57874265,-1.944349141,0.811964588
Malaysia,MYS,1.525047037,-0.342413534,-1.843642996,3.368690032,1.867460571,-1.501229461,1.243954118
Maldives,MDV,2.785529651,-1.390109907,-2.230412254,5.015941904,4.175639558,-0.840302346,4.969210876
Mali,MLI,-1.1697393,1.827342592,-4.679773116,3.510033816,-2.997081892,-6.507115708,0.460585308
Mauritius,MUS,3.237831669,1.592458106,0.377617088,2.860214581,1.645373563,-1.214841018,1.354394146
Mozambique,MOZ,3.112512251,-0.184816895,-2.133104173,5.245616424,3.297329146,-1.948287278,1.692424513
Myanmar,MMR,1.425790997,-1.684932536,-2.620933515,4.046724512,3.110723533,-0.936000979,3.3234191
Namibia,NAM,2.92567788,0.583045488,-0.386474513,3.312152393,2.342632392,-0.969520001,2.416280623
Nepal,NPL,2.232688439,0.437195826,-0.388270849,2.620959288,1.795492613,-0.825466675,2.175124289
Nigeria,NGA,2.449539029,0.342347008,-2.704004799,5.153543828,2.107192021,-3.046351807,0.691710004
Pakistan,PAK,2.148431005,0.370349883,-2.244419723,4.392850727,1.778081122,-2.614769606,0.680014452
Papua New Guinea,PNG,3.40657245,1.27166619,-0.837516743,4.244089193,2.13490626,-2.109182933,1.012195873
Philippines,PHL,0.394195532,-1.128827323,-2.32517129,2.719366822,1.523022855,-1.196343967,1.27306435
Rwanda,RWA,3.614516274,2.549966855,-0.084482879,3.698999153,1.064549419,-2.634449734,0.40408796
Senegal,SEN,3.79299628,0.536119596,-1.356404144,5.149400424,3.256876684,-1.892523741,1.720917214
Somalia,SOM,-0.248107716,-0.801422427,-3.346772793,3.098665077,0.553314711,-2.545350366,0.217382534
South Africa,ZAF,2.989410489,0.174527856,-1.30106247,4.290472959,2.814882633,-1.475590326,1.907631531
South Sudan,SSD,1.134103051,0.75102616,-2.286098822,3.420201873,0.383076891,-3.037124982,0.126131421
Sri Lanka,LKA,2.196834932,-0.160347931,-1.753145133,3.949980065,2.357182863,-1.592797202,1.479901434
Sudan,SDN,2.37430522,0.285629945,-3.755824609,6.130129829,2.088675275,-4.041454554,0.516812758
Thailand,THA,1.08193335,-1.29142718,-3.537133491,4.619066841,2.37336053,-2.245706311,1.056843683
Turkmenistan,TKM,4.59197323,3.904937845,-0.733924546,5.325897776,0.687035385,-4.638862391,0.148104282
Uganda,UGA,1.859439126,-0.170580359,-1.234337929,3.093777055,2.030019485,-1.06375757,1.908347863
United Republic of Tanzania,TZA,2.701561339,0.323711638,-4.167660442,6.869221781,2.377849701,-4.49137208,0.529426122
Uzbekistan,UZB,2.26768515,1.409060498,-0.576360601,2.844045751,0.858624652,-1.985421099,0.432464757
Viet Nam,VNM,2.150306419,0.539134413,-2.418424021,4.56873044,1.611172006,-2.957558434,0.544764218
Zambia,ZMB,2.09398658,1.121799923,-2.873981437,4.967968017,0.972186657,-3.99578136,0.243303266
Zimbabwe,ZWE,2.608714028,0.190508072,-2.103476028,4.712190056,2.418205956,-2.2939841,1.054151141
