Theme,Count
TAX_ETHNICITY,1746
TAX_ETHNICITY_CHINESE,1607
TAX_WORLDLANGUAGES,1718
TAX_WORLDLANGUAGES_CHINESE,1607
TAX_FNCACT,1931
TAX_FNCACT_ESCORT,19
TAX_WEAPONS,43
TAX_WEAPONS_DESTROYER,14
TAX_FNCACT_AMBASSADOR,214
TAX_FNCACT_REPRESENTATIVES,157
MILITARY,28
TAX_FNCACT_NAVY,16
UNGP_FORESTS_RIVERS_OCEANS,808
MARITIME,180
TAX_MILITARY_TITLE,44
TAX_MILITARY_TITLE_COMMANDER,12
TAX_FNCACT_COMMANDER,12
TAX_MILITARY_TITLE_ADMIRAL,9
TAX_FNCACT_ADMIRAL,9
TAX_MILITARY_TITLE_REAR_ADMIRAL,9
TAX_FNCACT_REAR_ADMIRAL,9
TAX_WEAPONS_WARSHIPS,14
WB_137_WATER,94
TAX_ETHNICITY_SOMALI,23
TAX_WORLDLANGUAGES_SOMALI,23
,1980
ECON_WORLDCURRENCIES,276
ECON_WORLDCURRENCIES_YUAN,87
EPU_CATS_REGULATION,145
BAN,105
TOURISM,191
TAX_FNCACT_TOURISTS,127
TAX_FNCACT_MINISTER,642
TAX_FNCACT_TOURIST,57
LEADER,1442
WB_825_TOURISM,121
WB_1921_PRIVATE_SECTOR_DEVELOPMENT,592
WB_346_COMPETITIVE_INDUSTRIES,497
WB_818_INDUSTRY_POLICY_AND_REAL_SECTORS,327
USPEC_POLICY1,817
GENERAL_GOVERNMENT,700
EPU_POLICY,798
EPU_POLICY_GOVERNMENT,297
TAX_FNCACT_BUSINESSMEN,32
EDUCATION,432
WB_678_DIGITAL_GOVERNMENT,287
WB_670_ICT_SECURITY,94
WB_2372_AUTHENTICATION_AND_AUTHORIZATION,81
WB_133_INFORMATION_AND_COMMUNICATION_TECHNOLOGIES,330
TAX_FNCACT_PRESIDENT,1210
USPEC_POLITICS_GENERAL1,1286
EPU_POLICY_POLITICAL,405
KILL,71
CRISISLEX_T03_DEAD,58
MANMADE_DISASTER_IMPLIED,113
EPU_POLICY_POLICY,217
WB_2433_CONFLICT_AND_VIOLENCE,172
WB_2432_FRAGILITY_CONFLICT_AND_VIOLENCE,313
WB_470_EDUCATION,380
EPU_ECONOMY,663
EPU_ECONOMY_HISTORIC,754
SOC_ECONCOOP,103
MARITIME_INCIDENT,19
WB_698_TRADE,773
TERROR,53
WB_2467_TERRORISM,46
WB_2462_POLITICAL_VIOLENCE_AND_WAR,120
EPU_CATS_NATIONAL_SECURITY,77
MEDIA_SOCIAL,65
CRISISLEX_C07_SAFETY,330
MARITIME_PIRACY,15
TAX_FNCACT_COMMUNIST,107
SOC_INNOVATION,136
WB_566_ENVIRONMENT_AND_NATURAL_RESOURCES,63
WB_2084_BIODIVERSITY,2
WB_1786_ENVIRONMENTAL_SUSTAINABILITY,4
POVERTY,204
WB_695_POVERTY,232
TAX_ETHNICITY_INDIGENOUS,2
ETH_INDIGINOUS,2
TAX_FNCACT_REPRESENTATIVE,76
SLFID_NATURAL_RESOURCES,21
WB_471_ECONOMIC_GROWTH,516
WB_1078_DETERMINANTS_OF_GROWTH,86
WB_1079_COMMODITIES_AND_RESOURCES,40
TAX_FNCACT_DEPUTY,202
TAX_FNCACT_DIRECTOR,211
ENV_FORESTRY,6
WB_436_FORESTRY,6
WB_1979_NATURAL_RESOURCE_MANAGEMENT,16
WB_435_AGRICULTURE_AND_FOOD_SECURITY,64
TAX_FNCACT_AMBASSADORS,19
TAX_FNCACT_AUTHORITIES,44
CRISISLEX_CRISISLEXREC,349
EPU_POLICY_AUTHORITIES,31
TAX_ETHNICITY_SPANISH,22
TAX_WORLDLANGUAGES_SPANISH,22
WB_644_NUTRITION,11
WB_1441_SUPPLEMENTS,9
WB_621_HEALTH_NUTRITION_AND_POPULATION,260
TAX_FNCACT_ACTOR,13
WB_694_BROADCAST_AND_MEDIA,210
SOC_DIPLOMRECOG,156
MEDIA_MSM,280
TAX_FOODSTAPLES,29
TAX_FOODSTAPLES_CEREAL,2
TAX_WORLDMAMMALS,301
TAX_WORLDMAMMALS_HUMAN,171
IDEOLOGY,102
TAX_ETHNICITY_ENGLISH,36
TAX_WORLDLANGUAGES_ENGLISH,36
EPU_POLICY_REFORM,81
SEIZE,25
SLFID_ECONOMIC_POWER,14
TAX_FNCACT_COMPANION,4
TAX_FNCACT_EDITORS,3
TAX_FNCACT_FOUNDERS,4
SCIENCE,210
TAX_FNCACT_OFFICIAL,238
TAX_WORLDLANGUAGES_MANDARIN,21
SOC_POINTSOFINTEREST,432
SOC_POINTSOFINTEREST_SCHOOLS,53
WB_480_PRIMARY_EDUCATION,7
WB_478_LEVELS_OF_EDUCATION,41
UNGP_EDUCATION,7
TAX_WORLDLANGUAGES_ANGIE,6
TAX_FNCACT_TEACHER,13
WB_1467_EDUCATION_FOR_ALL,217
WB_491_QUALITY_OF_EDUCATION,6
WB_2129_TEXTBOOKS,6
TAX_FNCACT_STUDENTS,123
SOC_POINTSOFINTEREST_UNIVERSITY,140
TAX_FNCACT_STUDENT,24
TAX_FNCACT_WOMEN,59
TAX_FNCACT_VETERANS,2
WB_1986_MOUNTAINS,12
