Theme,Count
TAX_MILITARY_TITLE_ADMIRAL,2817
TAX_FNCACT_ADMIRAL,2830
TAX_ETHNICITY_ENGLISH,14210
TAX_WORLDLANGUAGES_ENGLISH,14210
TAX_FNCACT_ESCORT,1848
TAX_WEAPONS_DESTROYER,1415
TAX_MILITARY_TITLE_REAR_ADMIRAL,337
TAX_FNCACT_REAR_ADMIRAL,376
TAX_ETHNICITY_SOMALI,2746
TAX_WORLDLANGUAGES_SOMALI,2746
MARITIME,56518
MILITARY,87890
TAX_FNCACT_NAVY,13378
WB_137_WATER,39806
TAX_MILITARY_TITLE_COMMANDER,11102
TAX_FNCACT_COMMANDER,11620
TAX_FNCACT_AMBASSADOR,23620
TAX_FNCACT_REPRESENTATIVES,24491
UNGP_FORESTS_RIVERS_OCEANS,109172
TAX_WEAPONS_WARSHIPS,2259
TAX_ETHNICITY_CHINESE,442173
TAX_WORLDLANGUAGES_CHINESE,441727
,390813
WATER_SECURITY,9230
TAX_DISEASE_HIV,1692
TAX_FNCACT_TOURIST,5712
KILL,105623
CRISISLEX_T03_DEAD,73722
SCANDAL,7240
WB_699_URBAN_DEVELOPMENT,12380
WB_802_GREEN_CITIES,92
WB_1717_URBAN_POLLUTION_AND_ENVIRONMENTAL_HEALTH,49
WB_2967_INDUSTRIAL_POLLUTION,49
WB_804_URBAN_POLLUTION,51
MARITIME_INCIDENT,28878
TOURISM,25901
WB_825_TOURISM,16110
WB_1921_PRIVATE_SECTOR_DEVELOPMENT,83465
WB_346_COMPETITIVE_INDUSTRIES,39807
WB_818_INDUSTRY_POLICY_AND_REAL_SECTORS,32080
WB_566_ENVIRONMENT_AND_NATURAL_RESOURCES,14926
WB_1793_HAZARDOUS_WASTES,284
WB_601_POLLUTION_MANAGEMENT,5849
UNGP_CRIME_VIOLENCE,23737
TAX_ETHNICITY_INDIAN,19804
EPU_ECONOMY_HISTORIC,138839
GOV_LOCALGOV,23216
WB_1331_HEALTH_TECHNOLOGIES,20526
WB_2453_ORGANIZED_CRIME,15430
WB_1350_PHARMACEUTICALS,19774
WB_2433_CONFLICT_AND_VIOLENCE,111491
WB_2432_FRAGILITY_CONFLICT_AND_VIOLENCE,196212
WB_2456_DRUGS_AND_NARCOTICS,13429
WB_139_SANITATION_AND_WASTEWATER,1178
WB_148_SEWERAGE,576
WB_1199_WATER_SUPPLY_AND_SANITATION,2774
WB_2003_SANITATION_TECHNOLOGIES,576
ALLIANCE,27336
AFFECT,65773
TAX_FNCACT_OFFICIAL,82283
TAX_DISEASE_INFECTIOUS,551
TAX_ECON_PRICE,33250
TAX_FNCACT_INSPECTOR,1051
WB_696_PUBLIC_SECTOR_MANAGEMENT,187401
WB_840_JUSTICE,126085
WB_2024_ANTI_CORRUPTION_AUTHORITIES,58343
WB_2025_INVESTIGATION,50002
WB_831_GOVERNANCE,95498
WB_832_ANTI_CORRUPTION,72792
WB_1014_CRIMINAL_JUSTICE,75798
GENERAL_HEALTH,73994
MEDICAL,61958
CRISISLEX_C03_WELLBEING_HEALTH,47333
TAX_DISEASE_DUMPING,582
EPU_CATS_TRADE_POLICY,4773
EPU_CATS_MIGRATION_FEAR_FEAR,34209
EPU_ECONOMY,115277
CRISISLEX_CRISISLEXREC,195501
PROTEST,35924
MOVEMENT_GENERAL,29241
TAX_FNCACT_ACTIVIST,6776
TAX_FNCACT_FISHERMEN,2109
MEDIA_MSM,137805
TAX_FNCACT_JOURNALIST,9371
SOC_POINTSOFINTEREST_HOSPITALS,5182
TAX_FNCACT_CRIMINAL,26470
TAX_WORLDFISH_FISH,2343
UNGP_CLEAN_WATER_SANITATION,1075
MEDIA_SOCIAL,28803
LEGISLATION,120475
WB_135_TRANSPORT,93189
WB_1174_WAREHOUSING_AND_STORAGE,9778
WB_793_TRANSPORT_AND_LOGISTICS_SERVICES,9941
CRISISLEX_C06_WATER_SANITATION,14877
WB_1428_INJURY,5603
WB_1406_DISEASES,18240
WB_621_HEALTH_NUTRITION_AND_POPULATION,58514
WB_1427_NON_COMMUNICABLE_DISEASE_AND_INJURY,9017
CRISISLEX_T02_INJURED,56347
TAX_FNCACT_OFFICIALS,73368
MANMADE_DISASTER_IMPLIED,164104
TAX_FNCACT_DIRECTOR,27547
TAX_FNCACT_METALLURGIST,1
TAX_FNCACT_CEO,6648
CRISISLEX_C04_LOGISTICS_TRANSPORT,38763
WB_2936_GOLD,6323
WB_507_ENERGY_AND_EXTRACTIVES,44014
WB_895_MINING_SYSTEMS,17127
WB_1699_METAL_ORE_MINING,11922
ENV_MINING,15320
GENERAL_GOVERNMENT,339086
EPU_POLICY_GOVERNMENT,138625
TAX_WORLDMAMMALS_HUMAN,38680
WB_678_DIGITAL_GOVERNMENT,104946
WB_694_BROADCAST_AND_MEDIA,91578
WB_133_INFORMATION_AND_COMMUNICATION_TECHNOLOGIES,122422
CRISISLEX_T11_UPDATESSYMPATHY,24084
TAX_MILITARY_TITLE_OFFICERS,13770
TAX_FNCACT_OFFICERS,21434
INFO_RUMOR,4445
TAX_FOODSTAPLES_MEAT,2890
TAX_FNCACT_AUTHORITIES,72511
EPU_POLICY_AUTHORITIES,38796
ECON_WORLDCURRENCIES_YUAN,59327
EPU_CATS_REGULATION,9670
BAN,28939
ECON_DEVELOPMENTORGS_WORLD_BANK,5154
TAX_WORLDCRUSTACEANS_LOBSTERS,2
ARMEDCONFLICT,183723
EPU_CATS_NATIONAL_SECURITY,60031
SOC_USSECURITYAGENCIES,6238
TAX_FNCACT_VICE_PRESIDENT,8937
AGRICULTURE,34272
TAX_WORLDLANGUAGES_POLISH,4009
TAX_ETHNICITY_AUSTRALIAN,7495
TAX_WORLDCRUSTACEANS_LOBSTER,11
TAX_ETHNICITY_AMERICAN,17045
WOUND,42935
TAX_FNCACT_VOLUNTEER,2639
ENV_FORESTRY,1591
WB_436_FORESTRY,1599
WB_1979_NATURAL_RESOURCE_MANAGEMENT,7109
WB_435_AGRICULTURE_AND_FOOD_SECURITY,24779
TAX_WORLDFISH_MACKEREL,2
LEADER,425520
ENV_FISHERY,2337
TAX_WORLDFISH_HALIBUT,1
SECURITY_SERVICES,118477
TAX_FNCACT_POLICE,95974
CRISISLEX_C07_SAFETY,224027
TAX_FNCACT_INCUMBENT,2390
SEIZE,15409
ECON_BANKRUPTCY,1668
TAX_FNCACT_CANDIDATE,11239
TAX_FNCACT_MANAGER,6756
TAX_ETHNICITY_KOREAN,34354
TAX_WORLDLANGUAGES_KOREAN,34294
NEGOTIATIONS,31648
WB_2473_DIPLOMACY_AND_NEGOTIATIONS,32107
WB_939_NEGOTIATION,27343
