Theme,Count
WB_698_TRADE,143
ARMEDCONFLICT,116
EPU_CATS_NATIONAL_SECURITY,52
ECON_TRADE_DISPUTE,28
TAX_ETHNICITY,280
TAX_ETHNICITY_CHINESE,214
TAX_WORLDLANGUAGES,280
TAX_WORLDLANGUAGES_CHINESE,215
LEADER,215
TAX_FNCACT,355
TAX_FNCACT_PRESIDENT,189
USPEC_POLITICS_GENERAL1,212
TAX_FNCACT_LEADERS,103
EPU_ECONOMY,104
EPU_ECONOMY_HISTORIC,145
ECON_EMERGINGECON,37
ECON_DEVELOPMENTORGS,35
ECON_DEVELOPMENTORGS_WORLD_TRADE_ORGANIZATION,3
EPU_POLICY,171
EPU_POLICY_WORLD_TRADE_ORGANIZATION,3
EPU_CATS_TRADE_POLICY,12
TAX_FNCACT_MINISTER,117
CRISISLEX_CRISISLEXREC,148
WB_2670_JOBS,80
WB_1467_EDUCATION_FOR_ALL,58
WB_470_EDUCATION,69
WB_2131_EMPLOYABILITY_SKILLS_AND_JOBS,58
WB_1484_EDUCATION_SKILLS_DEVELOPMENT_AND_LABOR_MARKET,58
AFFECT,69
GENERAL_GOVERNMENT,200
EPU_POLICY_GOVERNMENT,104
,375
EPU_CATS_MIGRATION_FEAR_FEAR,60
ECON_DEBT,27
WB_1104_MACROECONOMIC_VULNERABILITY_AND_DEBT,30
WB_450_DEBT,27
TOURISM,42
TAX_FNCACT_TOURIST,15
WB_168_ROADS_AND_HIGHWAYS,2
WB_135_TRANSPORT,103
WB_1809_HIGHWAYS,2
WB_1803_TRANSPORT_INFRASTRUCTURE,79
SOC_POINTSOFINTEREST,105
SOC_POINTSOFINTEREST_AIRPORT,32
WB_1804_AIRPORTS,39
TRAFFIC,16
UNGP_TRANSPORTATION_ROADS,2
TAX_FNCACT_ECONOMIST,5
WB_137_WATER,20
WB_161_DAMS_AND_RESERVOIRS,4
WB_141_WATER_RESOURCES_MANAGEMENT,5
WB_1000_WATER_MANAGEMENT_STRUCTURES,5
CRISISLEX_T04_INFRASTRUCTURE,32
EDUCATION,70
SOC_POINTSOFINTEREST_UNIVERSITY,32
SOC_POINTSOFINTEREST_SCHOOL,19
TAX_FNCACT_LECTURER,3
ECON_DEVELOPMENTORGS_INTERNATIONAL_MONETARY_FUND,12
WB_678_DIGITAL_GOVERNMENT,109
WB_694_BROADCAST_AND_MEDIA,108
WB_133_INFORMATION_AND_COMMUNICATION_TECHNOLOGIES,118
USPEC_POLICY1,145
EPU_POLICY_DEFICIT,4
ECON_DEVELOPMENTORGS_AFRICAN_DEVELOPMENT_BANK,3
AGRICULTURE,40
CRISISLEX_T11_UPDATESSYMPATHY,50
TAX_FNCACT_FINANCIER,2
ECON_DEVELOPMENTORGS_INTERNATIONAL_FINANCE_CORPORATION,2
TAX_AIDGROUPS,18
TAX_AIDGROUPS_INTERNATIONAL_FINANCE_CORPORATION,2
ECON_DEVELOPMENTORGS_WORLD_BANK,10
