Theme,Count
TAX_ETHNICITY,277774
TAX_ETHNICITY_CHINESE,154923
TAX_WORLDLANGUAGES,274217
TAX_WORLDLANGUAGES_CHINESE,154896
TAX_FNCACT,353789
TAX_FNCACT_ESCORT,1475
TAX_ETHNICITY_ENGLISH,8393
TAX_WORLDLANGUAGES_ENGLISH,8388
TAX_WEAPONS,33444
TAX_WEAPONS_DESTROYER,1158
TAX_FNCACT_AMBASSADOR,14610
TAX_FNCACT_REPRESENTATIVES,18898
MILITARY,50418
TAX_FNCACT_NAVY,7059
UNGP_FORESTS_RIVERS_OCEANS,61512
MARITIME,32870
TAX_MILITARY_TITLE,35903
TAX_MILITARY_TITLE_COMMANDER,8075
TAX_FNCACT_COMMANDER,8398
TAX_MILITARY_TITLE_ADMIRAL,1587
TAX_FNCACT_ADMIRAL,1600
TAX_MILITARY_TITLE_REAR_ADMIRAL,285
TAX_FNCACT_REAR_ADMIRAL,324
TAX_WEAPONS_WARSHIPS,1716
WB_137_WATER,24697
TAX_ETHNICITY_SOMALI,1400
TAX_WORLDLANGUAGES_SOMALI,1400
,390813
GENERAL_HEALTH,46001
MEDICAL,41035
CRISISLEX_C03_WELLBEING_HEALTH,32496
TAX_ETHNICITY_INDIAN,9923
TAX_FNCACT_OFFICIALS,46153
GOV_LOCALGOV,18909
CRISISLEX_CRISISLEXREC,123936
TAX_FNCACT_OFFICIAL,63254
TAX_DISEASE,18036
TAX_DISEASE_HIV,647
MANMADE_DISASTER_IMPLIED,82846
WB_696_PUBLIC_SECTOR_MANAGEMENT,123624
WB_840_JUSTICE,85368
PROTEST,25372
MOVEMENT_GENERAL,19181
TAX_FNCACT_ACTIVIST,4412
ALLIANCE,17982
EPU_ECONOMY_HISTORIC,63353
CRISISLEX_C06_WATER_SANITATION,8952
WB_699_URBAN_DEVELOPMENT,8607
WB_802_GREEN_CITIES,92
WB_1717_URBAN_POLLUTION_AND_ENVIRONMENTAL_HEALTH,49
WB_2967_INDUSTRIAL_POLLUTION,49
WB_804_URBAN_POLLUTION,51
AFFECT,48017
EPU_CATS_MIGRATION_FEAR_FEAR,24784
WB_1428_INJURY,5069
WB_1406_DISEASES,13764
WB_621_HEALTH_NUTRITION_AND_POPULATION,39737
WB_1427_NON_COMMUNICABLE_DISEASE_AND_INJURY,7778
CRISISLEX_T02_INJURED,40912
MARITIME_INCIDENT,15869
KILL,80129
CRISISLEX_T03_DEAD,53452
EPU_ECONOMY,47940
TOURISM,14915
WB_825_TOURISM,8387
WB_1921_PRIVATE_SECTOR_DEVELOPMENT,53470
WB_346_COMPETITIVE_INDUSTRIES,25338
WB_818_INDUSTRY_POLICY_AND_REAL_SECTORS,19538
TAX_FNCACT_TOURIST,4244
TAX_FNCACT_FISHERMEN,1039
TAX_WORLDFISH,5083
TAX_WORLDFISH_FISH,1513
UNGP_CRIME_VIOLENCE,13290
WB_566_ENVIRONMENT_AND_NATURAL_RESOURCES,10185
WB_1793_HAZARDOUS_WASTES,164
WB_601_POLLUTION_MANAGEMENT,3661
WATER_SECURITY,6713
TAX_ECON_PRICE,23686
SOC_POINTSOFINTEREST,76660
SOC_POINTSOFINTEREST_HOSPITALS,3918
TAX_DISEASE_DUMPING,386
EPU_CATS_TRADE_POLICY,3283
SCANDAL,5912
WB_135_TRANSPORT,60605
WB_1174_WAREHOUSING_AND_STORAGE,6583
WB_793_TRANSPORT_AND_LOGISTICS_SERVICES,6736
WB_139_SANITATION_AND_WASTEWATER,1012
WB_148_SEWERAGE,526
WB_1199_WATER_SUPPLY_AND_SANITATION,2413
WB_2003_SANITATION_TECHNOLOGIES,526
UNGP_CLEAN_WATER_SANITATION,881
WB_2024_ANTI_CORRUPTION_AUTHORITIES,41184
WB_2025_INVESTIGATION,35073
WB_831_GOVERNANCE,63721
