Country Name,FIPS-10 Code,Event Count,Average NumSources
Botswana,BC,2710,1.0494
Burundi,BY,1383,1.0354
Chad,CD,1143,1.0831
Comoros,CN,241,1.0456
Djibouti,DJ,6597,1.0509
Eritrea,ER,869,1.0460
Eswatini,WZ,294,1.0408
Ethiopia,ET,9331,1.0390
Kenya,KE,19945,1.0304
Lesotho,LT,957,1.0073
Madagascar,MA,2162,1.0444
Malawi,MI,1981,1.0061
Mauritius,MP,2797,1.0182
Mozambique,MZ,3399,1.0256
Rwanda,RW,4965,1.0328
Seychelles,SE,1066,1.0122
Somalia,SO,4568,1.0300
South Africa,SF,31290,1.0328
South Sudan,OD,2788,1.0448
Sudan,SU,9149,1.0282
United Republic of Tanzania,TZ,6854,1.0385
Uganda,UG,6297,1.0206
Zimbabwe,ZI,15907,1.0252
Zambia,ZA,7173,1.0134
