"Source Name","Mention Count","country"
"tolonews.com",1224,"AF"
"pajhwok.com",772,"AF"
"outlookafghanistan.net",764,"AF"
"thefrontierpost.com",722,"AF"
"bakhtarnews.com.af",569,"AF"
"khaama.com",556,"AF"
"afghanistantimes.af",505,"AF"
"ariananews.af",284,"AF"
"djazairess.com",166,"AL"
"aps.dz",154,"AL"
"lemaghrebdz.com",103,"AL"
"elbilad.net",86,"AL"
"echoroukonline.com",71,"AL"
"elmoudjahid.com",69,"AL"
"elwatan.com",62,"AL"
"liberte-algerie.com",57,"AL"
"maghrebemergent.info",56,"AL"
"ennaharonline.com",40,"AL"
"lexpressiondz.com",32,"AL"
"lequotidien-oran.com",32,"AL"
"tsa-algerie.com",22,"AL"
"allafrica.com",543,"AO"
"angop.ao",514,"AO"
"portalangop.co.ao",295,"AO"
"jornaldeangola.sapo.ao",223,"AO"
"angonoticias.com",56,"AO"
"portaldeangola.com",54,"AO"
"governo.gov.ao",42,"AO"
"azertag.az",1566,"AJ"
"azernews.az",870,"AJ"
"en.trend.az",593,"AJ"
"today.az",578,"AJ"
"yeniazerbaycan.com",519,"AJ"
"news.az",510,"AJ"
"abc.az",181,"AJ"
"525.az",176,"AJ"
"news.day.az",171,"AJ"
"interfax.az",168,"AJ"
"en.apa.az",123,"AJ"
"trend.az",117,"AJ"
"haqqin.az",107,"AJ"
"1news.az",76,"AJ"
"azerbaijannews.net",72,"AJ"
"azerbaijan-news.az",68,"AJ"
"kaspi.az",60,"AJ"
"br.az",59,"AJ"
"az.trend.az",39,"AJ"
"apa.az",34,"AJ"
"en.president.az",34,"AJ"
"thedailystar.net",2429,"BG"
"dhakatoday.com",1617,"BG"
"dhakatribune.com",1042,"BG"
"newstoday.com.bd",871,"BG"
"bdnews24.com",732,"BG"
"daily-sun.com",730,"BG"
"bssnews.net",695,"BG"
"clickittefaq.com",517,"BG"
"bangladeshsun.com",483,"BG"
"banglanews24.com",465,"BG"
"thedailynewnation.com",453,"BG"
"thefinancialexpress-bd.com",424,"BG"
"thebangladeshtoday.com",329,"BG"
"prothom-alo.com",294,"BG"
"albd.org",229,"BG"
"firstpost.com",221,"BG"
"vnewsbd.com",200,"BG"
"theindependentbd.com",199,"BG"
"businessnews-bd.com",177,"BG"
"dhakacourier.com.bd",171,"BG"
"bangladeshchronicle.net",162,"BG"
"sylhettimes.com",148,"BG"
"bna.bh",460,"BA"
"newsofbahrain.com",322,"BA"
"tradearabia.com",236,"BA"
"akhbar-alkhaleej.com",126,"BA"
"alayam.com",97,"BA"
"albiladpress.com",78,"BA"
"alwatannews.net",70,"BA"
"ttnworldwide.com",69,"BA"
"gdnonline.com",69,"BA"
"gulf-daily-news.com",45,"BA"
"alwasatnews.com",44,"BA"
"startupmgzn.com",27,"BA"
"shafaqna.com",25,"BA"
"kuenselonline.com",130,"BT"
"acotonou.com",46,"BN"
"allafrica.com",21,"BN"
"mmegi.bw",287,"BC"
"allafrica.com",184,"BC"
"sundaystandard.info",172,"BC"
"weekendpost.co.bw",86,"BC"
"thepatriot.co.bw",64,"BC"
"bulawayo24.com",41,"BC"
"borneobulletin.com.bn",494,"BX"
"bruneinews.net",348,"BX"
"brudirect.com",248,"BX"
"fasopresse.net",5405,"UV"
"allafrica.com",128,"UV"
"aouaga.com",105,"UV"
"sidwaya.bf",105,"UV"
"lefaso.net",82,"UV"
"aib.bf",55,"UV"
"fasozine.com",28,"UV"
"lepays.bf",21,"UV"
"burkina24.com",15,"UV"
"arib.info",194,"BY"
"allafrica.com",74,"BY"
"iwacu-burundi.org",23,"BY"
"presidence.gov.bi",16,"BY"
"burundi-agnews.org",14,"BY"
"alwatwan.net",57,"CM"
"mayottehebdo.com",10,"CM"
"inforpress.publ.cv",20,"CV"
"expressodasilhas.cv",8,"CV"
"anacao.cv",4,"CV"
"governo.cv",4,"CV"
"allafrica.com",4,"CV"
"expressodasilhas.sapo.cv",1,"CV"
"asemana.publ.cv",1,"CV"
"rtc.cv",1,"CV"
"centrafrique-presse.info",22,"CT"
"alwihdainfo.com",13,"CD"
"tchadactuel.com",9,"CD"
"alwatwan.net",57,"CM"
"mayottehebdo.com",10,"CM"
"allafrica.com",43,"CG"
"mediacongo.net",32,"CG"
"radiookapi.net",29,"CG"
"lephareonline.net",22,"CG"
"kongotimes.info",12,"CG"
"digitalcongo.net",12,"CG"
"laprosperiteonline.net",11,"CG"
"lecongolais.cd",9,"CG"
"adiac-congo.com",7,"CG"
"allafrica.com",168,"CF"
"adiac-congo.com",134,"CF"
"digitalcongo.net",11,"CF"
"mediacongo.net",11,"CF"
"demainlenouveaucongobrazzaville.org",10,"CF"
"laprosperiteonline.net",8,"CF"
"groupelavenir.org",8,"CF"
"kongotimes.info",7,"CF"
"lephareonline.net",5,"CF"
"congopage.com",4,"CF"
"abidjan.net",136,"IV"
"allafrica.com",36,"IV"
"lepointsur.com",15,"IV"
"cote-d-ivoire.net",15,"IV"
"gouv.ci",14,"IV"
"rti.ci",8,"IV"
"geeskaafrika.com",50,"DJ"
"djiboutination.com",46,"DJ"
"presidence.dj",25,"DJ"
"alqarn.dj",25,"DJ"
